Fecha;36;41;30;23
1984-04-30;10.74;10.754999;3.6266668;2.17
1984-05-01;10.74;10.3;3.3733332;2.17
1984-05-02;10.74;9.873334;3.1000001;1.83
1984-05-03;9.33;8.753334;3.176667;1.83
1984-05-04;9.33;8.09;2.61;1.52
1984-05-05;9.33;10.740001;4.043333;1.52
1984-05-06;15.35;23.333334;17.826666;4.39
1984-05-07;18.71;28.506666;17.936666;7.66
1984-05-08;24.14;25.54;17.216667;4.146667
1984-05-09;20.47;22.800001;12.0;2.9000003
1984-05-10;18.71;20.643333;8.106667;2.41
1984-05-11;17.0;16.746666;6.9733334;2.17
1984-05-12;15.35;14.556666;6.0;1.83
1984-05-13;13.76;13.756667;5.853333;1.83
1984-05-14;12.22;13.423333;5.3566666;1.83
1984-05-15;10.74;12.603333;4.65;1.83
1984-05-16;10.74;11.503333;3.89;1.52
1984-05-17;9.33;10.3;3.4733334;1.52
1984-05-18;9.33;9.579999;3.1433334;1.52
1984-05-19;9.33;9.44;2.783333;1.52
1984-05-20;9.33;9.44;2.61;1.52
1984-05-21;9.33;8.349999;2.57;1.52
1984-05-22;9.33;8.22;4.9666667;1.52
1984-05-23;18.71;13.623333;10.82;1.23
1984-05-24;22.28;43.02;42.42667;1.5266666
1984-05-25;34.12;158.69;143.62666;2.926667
1984-05-26;139.29;252.16333;46.15333;6.9599996
1984-05-27;158.57;233.12334;111.409996;8.78
1984-05-28;154.67;183.97333;77.776665;6.56
1984-05-29;216.46;206.77333;161.31001;9.923333
1984-05-30;306.83;358.32333;317.00668;87.93
1984-05-31;427.74;562.9633;242.91333;58.329998
1984-06-01;190.68;519.00336;74.90333;31.773336
1984-06-02;101.21;348.26334;99.30667;19.526667
1984-06-03;89.45;316.30667;160.05;27.4
1984-06-04;178.46;424.55334;82.583336;63.853333
1984-06-05;95.27;404.62332;37.88;27.873335
1984-06-06;78.17;217.74333;29.633333;12.07
1984-06-07;67.4;473.57333;52.100002;12.883334
1984-06-08;512.66;877.01666;243.14667;162.3
1984-06-09;663.2;746.36005;159.78;72.799995
1984-06-10;766.34;531.42;131.32668;80.956665
1984-06-11;266.32;499.49332;67.52;50.896667
1984-06-12;113.44;393.58;37.366665;28.519999
1984-06-13;78.17;196.90666;29.323334;19.526667
1984-06-14;62.21;113.13999;22.986666;11.07
1984-06-15;57.16;86.763336;19.366667;8.78
1984-06-16;42.87;69.96;17.173334;8.78
1984-06-17;40.62;55.15333;16.043333;9.349999
1984-06-18;38.41;43.513336;14.040001;7.64
1984-06-19;34.12;45.649998;12.31;9.16
1984-06-20;29.99;42.67333;11.7300005;7.64
1984-06-21;28.0;38.766666;11.07;6.56
1984-06-22;26.04;35.2;10.463333;8.206666
1984-06-23;24.14;34.423336;9.406667;6.56
1984-06-24;24.14;33.66;8.646667;6.56
1984-06-25;29.99;31.589998;7.84;6.0399995
1984-06-26;36.25;38.563335;8.663333;6.213333
1984-06-27;216.46;115.87667;53.946667;83.670006
1984-06-28;190.68;278.76;40.420002;45.296665
1984-06-29;128.03;249.04;33.81333;23.923334
1984-06-30;95.27;149.96;23.723333;17.003334
1984-07-01;83.75;98.83501;18.576666;12.27
1984-07-02;72.72;76.15;19.043333;11.07
1984-07-03;95.27;79.89667;99.136665;15.763333
1984-07-04;460.85;210.08333;276.84;130.0
1984-07-05;512.66;516.87665;75.25667;58.506668
1984-07-06;567.01;629.99335;350.80334;93.329994
1984-07-07;1300.93;794.22675;252.58;119.91
1984-07-08;266.32;1219.07;56.99;55.483334
1984-07-09;228.47;925.11005;38.513332;24.199999
1984-07-10;198.93;298.79333;76.21;20.743334
1984-07-11;279.53;330.32666;159.46;100.916664
1984-07-12;604.65;549.35004;348.38333;150.43666
