59.1,08/08/2022,11.760416666666664
59.1,09/08/2022,9.918749999999992
59.1,10/08/2022,8.572916666666666
59.1,11/08/2022,7.656250000000003
59.1,12/08/2022,6.889791666666664
59.1,13/08/2022,6.529375000000004
59.1,14/08/2022,6.116041666666668
59.1,15/08/2022,5.8125000000000036
59.1,16/08/2022,5.58104166666667
59.1,17/08/2022,5.287499999999996
59.1,18/08/2022,4.974999999999996
59.1,19/08/2022,4.630833333333338
59.1,20/08/2022,4.306874999999997
59.1,21/08/2022,4.098749999999996
59.1,22/08/2022,3.9893749999999977
59.1,23/08/2022,3.95
