61.0,08/08/2022,33.299791666666664
61.0,09/08/2022,21.652708333333337
61.0,10/08/2022,15.414791666666686
61.0,11/08/2022,11.417083333333336
61.0,12/08/2022,8.523125000000002
61.0,13/08/2022,6.248749999999998
61.0,14/08/2022,4.872708333333329
61.0,15/08/2022,4.0058333333333325
61.0,16/08/2022,3.351458333333334
61.0,17/08/2022,2.9439583333333332
61.0,18/08/2022,2.5502083333333343
61.0,19/08/2022,2.203750000000002
61.0,20/08/2022,1.9700000000000004
61.0,21/08/2022,1.7270833333333349
61.0,22/08/2022,1.5570833333333345
61.0,23/08/2022,1.56
