65.1,08/08/2022,514.3625000000002
65.1,09/08/2022,536.2197916666667
65.1,10/08/2022,664.5793749999999
65.1,11/08/2022,710.2720833333333
65.1,12/08/2022,655.5350000000002
65.1,13/08/2022,576.1574999999999
65.1,14/08/2022,498.76416666666677
65.1,15/08/2022,426.4002083333337
65.1,16/08/2022,385.95666666666676
65.1,17/08/2022,343.90520833333335
65.1,18/08/2022,285.2764583333333
65.1,19/08/2022,206.7554166666666
65.1,20/08/2022,127.53812499999997
65.1,21/08/2022,78.11297872340421
65.1,22/08/2022,66.92583333333333
65.1,23/08/2022,67.71
