44.0,08/08/2022,14.4375
44.0,09/08/2022,13.046875000000002
44.0,10/08/2022,11.955416666666666
44.0,11/08/2022,11.060000000000004
44.0,12/08/2022,10.426249999999998
44.0,13/08/2022,10.010833333333341
44.0,14/08/2022,9.622291666666658
44.0,15/08/2022,9.331666666666672
44.0,16/08/2022,9.02916666666667
44.0,17/08/2022,8.56916666666667
44.0,18/08/2022,8.01249999999999
44.0,19/08/2022,7.392291666666658
44.0,20/08/2022,7.139999999999991
44.0,21/08/2022,7.082708333333325
44.0,22/08/2022,6.654166666666666
44.0,23/08/2022,6.41
