14.0,23/08/2022,6.224166666666669
14.0,24/08/2022,6.026874999999998
14.0,25/08/2022,5.883124999999997
14.0,26/08/2022,5.748749999999998
14.0,27/08/2022,5.873749999999998
14.0,28/08/2022,7.487291666666668
14.0,29/08/2022,11.772291666666666
14.0,30/08/2022,13.142291666666665
14.0,31/08/2022,10.236874999999998
14.0,01/09/2022,7.3938461538461535
14.0,02/09/2022,7.901041666666665
14.0,03/09/2022,14.039791666666668
14.0,04/09/2022,20.989791666666648
14.0,05/09/2022,18.62270833333333
14.0,06/09/2022,12.191666666666665
14.0,07/09/2022,10.34
