52.0,23/08/2022,23.931666666666672
52.0,24/08/2022,22.37666666666667
52.0,25/08/2022,21.28000000000001
52.0,26/08/2022,29.19354166666666
52.0,27/08/2022,78.54395833333332
52.0,28/08/2022,79.30541666666672
52.0,29/08/2022,87.76145833333334
52.0,30/08/2022,95.30312500000001
52.0,31/08/2022,91.39708333333333
52.0,01/09/2022,76.23875
52.0,02/09/2022,90.08062499999998
52.0,03/09/2022,118.56354166666664
52.0,04/09/2022,107.65979166666666
52.0,05/09/2022,108.46395833333337
52.0,06/09/2022,113.3079166666667
52.0,07/09/2022,112.68
