Location Names,Picada de Coelho,Picada de Coelho
Location Ids,55.1,55.1
Time,H.obs,Q.obs
2022-08-23 00:00:00,1.95,6.05
2022-08-23 00:30:00,1.95,6.05
2022-08-23 01:00:00,1.95,6.05
2022-08-23 01:30:00,1.95,6.05
2022-08-23 02:00:00,1.94,5.92
2022-08-23 02:30:00,1.94,5.92
2022-08-23 03:00:00,1.94,5.92
2022-08-23 03:30:00,1.94,5.92
2022-08-23 04:00:00,1.94,5.92
2022-08-23 04:30:00,1.94,5.92
2022-08-23 05:00:00,1.94,5.92
2022-08-23 05:30:00,1.94,5.92
2022-08-23 06:00:00,1.94,5.92
2022-08-23 06:30:00,1.93,5.8
2022-08-23 07:00:00,1.93,5.8
2022-08-23 07:30:00,1.93,5.8
2022-08-23 08:00:00,1.93,5.8
