Location Names,Paso Mazangano,Paso Mazangano
Location Ids,64.0,64.0
Time,H.obs,Q.obs
2022-08-23 00:00:00,3.13,87.44
2022-08-23 00:30:00,3.14,87.93
2022-08-23 01:00:00,3.14,87.93
2022-08-23 01:30:00,3.14,87.93
2022-08-23 02:00:00,3.14,87.93
2022-08-23 02:30:00,3.15,88.42
2022-08-23 03:00:00,3.15,88.42
2022-08-23 03:30:00,3.15,88.42
2022-08-23 04:00:00,3.15,88.42
2022-08-23 04:30:00,3.16,88.92
2022-08-23 05:00:00,3.16,88.92
2022-08-23 05:30:00,3.16,88.92
2022-08-23 06:00:00,3.17,89.41
2022-08-23 06:30:00,3.16,88.92
2022-08-23 07:00:00,3.17,89.41
2022-08-23 07:30:00,3.17,89.41
2022-08-23 08:00:00,3.17,89.41
2022-08-23 08:30:00,3.17,89.41
2022-08-23 09:00:00,3.17,89.41
2022-08-23 09:30:00,3.18,89.9
2022-08-23 10:00:00,3.18,89.9
2022-08-23 10:30:00,3.18,89.9
2022-08-23 11:00:00,3.18,89.9
2022-08-23 11:30:00,3.18,89.9
2022-08-23 12:00:00,3.19,90.4
2022-08-23 12:30:00,3.19,90.4
2022-08-23 13:00:00,3.19,90.4
2022-08-23 13:30:00,3.19,90.4
2022-08-23 14:00:00,3.19,90.4
2022-08-23 14:30:00,3.2,90.9
2022-08-23 15:00:00,3.19,90.4
2022-08-23 15:30:00,3.2,90.9
2022-08-23 16:00:00,3.2,90.9
2022-08-23 16:30:00,3.2,90.9
2022-08-23 17:00:00,3.2,90.9
2022-08-23 17:30:00,3.2,90.9
2022-08-23 18:00:00,3.2,90.9
2022-08-23 18:30:00,3.2,90.9
2022-08-23 19:00:00,3.2,90.9
2022-08-23 19:30:00,3.2,90.9
2022-08-23 20:00:00,3.2,90.9
2022-08-23 20:30:00,3.21,91.4
2022-08-23 21:00:00,3.2,90.9
2022-08-23 21:30:00,3.21,91.4
2022-08-23 22:00:00,3.21,91.4
2022-08-23 22:30:00,3.21,91.4
2022-08-23 23:00:00,3.21,91.4
2022-08-23 23:30:00,3.21,91.4
2022-08-24 00:00:00,3.2,90.9
2022-08-24 00:30:00,3.21,91.4
2022-08-24 01:00:00,3.2,90.9
2022-08-24 01:30:00,3.21,91.4
2022-08-24 02:00:00,3.21,91.4
2022-08-24 02:30:00,3.2,90.9
2022-08-24 03:00:00,3.2,90.9
2022-08-24 03:30:00,3.2,90.9
2022-08-24 04:00:00,3.21,91.4
2022-08-24 04:30:00,3.2,90.9
2022-08-24 05:00:00,3.2,90.9
2022-08-24 05:30:00,3.2,90.9
2022-08-24 06:00:00,3.2,90.9
2022-08-24 06:30:00,3.19,90.4
2022-08-24 07:00:00,3.19,90.4
2022-08-24 07:30:00,3.19,90.4
2022-08-24 08:00:00,3.19,90.4
2022-08-24 08:30:00,3.19,90.4
2022-08-24 09:00:00,3.19,90.4
2022-08-24 09:30:00,3.19,90.4
2022-08-24 10:00:00,3.19,90.4
2022-08-24 10:30:00,3.18,89.9
2022-08-24 11:00:00,3.18,89.9
2022-08-24 11:30:00,3.17,89.41
2022-08-24 12:00:00,3.17,89.41
2022-08-24 12:30:00,3.17,89.41
2022-08-24 13:00:00,3.17,89.41
2022-08-24 13:30:00,3.17,89.41
2022-08-24 14:00:00,3.16,88.92
2022-08-24 14:30:00,3.16,88.92
2022-08-24 15:00:00,3.15,88.42
2022-08-24 15:30:00,3.15,88.42
2022-08-24 16:00:00,3.15,88.42
2022-08-24 16:30:00,3.14,87.93
2022-08-24 17:00:00,3.14,87.93
2022-08-24 17:30:00,3.14,87.93
2022-08-24 18:00:00,3.14,87.93
2022-08-24 18:30:00,3.13,87.44
2022-08-24 19:00:00,3.12,86.95
2022-08-24 19:30:00,3.12,86.95
2022-08-24 20:00:00,3.11,86.46
2022-08-24 20:30:00,3.11,86.46
2022-08-24 21:00:00,3.11,86.46
2022-08-24 21:30:00,3.1,85.98
2022-08-24 22:00:00,3.09,85.49
2022-08-24 22:30:00,3.09,85.49
2022-08-24 23:00:00,3.08,85.0
2022-08-24 23:30:00,3.08,85.0
2022-08-25 00:00:00,3.07,84.52
2022-08-25 00:30:00,3.07,84.52
2022-08-25 01:00:00,3.06,84.04
2022-08-25 01:30:00,3.05,83.56
2022-08-25 02:00:00,3.04,83.08
2022-08-25 02:30:00,3.04,83.08
2022-08-25 03:00:00,3.03,82.6
2022-08-25 03:30:00,3.02,82.12
2022-08-25 04:00:00,3.02,82.12
2022-08-25 04:30:00,3.01,81.64
2022-08-25 05:00:00,3.0,81.17
2022-08-25 05:30:00,2.99,80.69
2022-08-25 06:00:00,2.99,80.69
2022-08-25 06:30:00,2.98,80.22
2022-08-25 07:00:00,2.97,79.75
2022-08-25 07:30:00,2.96,79.28
2022-08-25 08:00:00,2.95,78.81
2022-08-25 08:30:00,2.94,78.34
2022-08-25 09:00:00,2.93,77.87
2022-08-25 09:30:00,2.92,77.41
2022-08-25 10:00:00,2.91,76.94
2022-08-25 10:30:00,2.91,76.94
2022-08-25 11:00:00,2.89,76.01
2022-08-25 11:30:00,2.89,76.01
2022-08-25 12:00:00,2.88,75.55
2022-08-25 12:30:00,2.87,75.09
2022-08-25 13:00:00,2.86,74.63
