1973    9       1       2       11.4    0
1973    9       2       6.1     10.6    0
1973    9       3       0.3     8.3     0
1973    9       4       3.2     9.4     0
1973    9       5       12.3    11.6    0
1973    9       6       2.5     10.7    0
1973    9       7       0.5     8.4     0
1973    9       8       3.6     8.3     0
1973    9       9       2.4     7.3     0
1973    9       10      0.5     5.8     0
1973    9       11      0.6     5.2     0
1973    9       12      0       5.1     0
1973    9       13      0.3     4       0
1973    9       14      5.3     4.8     0
1973    9       15      0.2     8.5     0
1973    9       16      0       6       0
1973    9       17      0       5.2     0
1973    9       18      0       7.9     0
1973    9       19      0       6.4     0
1973    9       20      12.7    3.4     0
1973    9       21      0.3     6.5     0
1973    9       22      0       4.5     0
1973    9       23      0       2.3     0
1973    9       24      0       1.9     0
1973    9       25      0       5.3     0
1973    9       26      0       1       0
1973    9       27      0       0.9     0
1973    9       28      5.2     -1      0
1973    9       29      0.7     6.3     0
1973    9       30      0.2     4.8     0
1973    10      1       1.3     6.2     0
1973    10      2       0       8.9     0
1973    10      3       0       10.2    0
1973    10      4       0       12.7    0
1973    10      5       0       7       0
1973    10      6       0.2     1.8     0
1973    10      7       0.9     4.3     0
1973    10      8       8.3     4.7     0
1973    10      9       2.3     5.1     0
1973    10      10      0       -2.5    0
1973    10      11      0       -3.2    0
1973    10      12      0       0.3     0
1973    10      13      0       -4.1    0
1973    10      14      0       -0.8    0
1973    10      15      0       -0.4    0
1973    10      16      0       -1.9    0
1973    10      17      0       -1.9    0
1973    10      18      0       -4.6    0
1973    10      19      0       -1.3    0
1973    10      20      0       -1.9    0
1973    10      21      0       -4.4    0
1973    10      22      0       -8.9    0
1973    10      23      0       -8.4    0
1973    10      24      1.7     -4.4    0
1973    10      25      0       0.5     0
1973    10      26      0       4.8     1
1973    10      27      0       1.3     1
1973    10      28      0.9     2.4     1
1973    10      29      1.7     0       1
1973    10      30      0       -0.9    2
1973    10      31      0       -6.2    2
1973    11      1       0       -4.1    2
1973    11      2       0       -3.1    2
1973    11      3       0       -5.3    2
1973    11      4       0       0       2
1973    11      5       1.3     5.3     2
1973    11      6       2.2     3.3     0
1973    11      7       0.5     -1.2    3
1973    11      8       3.4     -1      3
1973    11      9       0       3.5     4
1973    11      10      0       -1.5    4
1973    11      11      1.1     -6.6    4
1973    11      12      4.4     -6      4
1973    11      13      0       -2.8    6
1973    11      14      0       -11.6   6
1973    11      15      0       -12.6   6
1973    11      16      0       -18     6
1973    11      17      0       -13.2   6
1973    11      18      7       -9.1    6
1973    11      19      9.6     -4.2    13
1973    11      20      0       -5.2    19
1973    11      21      1.2     -12.5   19
1973    11      22      0       -1.6    22
1973    11      23      0       -0.7    23
1973    11      24      1.8     -10.7   23
1973    11      25      0       -11.9   25
1973    11      26      0       -9.6    25
1973    11      27      0       -7.2    25
1973    11      28      0       -14.2   25
1973    11      29      0.6     -19.6   25
1973    11      30      0.6     -14.6   25
1973    12      1       0       -18.6   25
1973    12      2       2.3     -21.1   25
1973    12      3       0       -6.4    28
1973    12      4       0       -8.4    28
1973    12      5       1       -15.9   28
1973    12      6       1.5     -13.5   30
1973    12      7       1.9     -10.4   32
1973    12      8       0       -19.2   33
1973    12      9       3.2     -28.2   33
1973    12      10      0.5     -10.5   38
1973    12      11      0       -3.5    40
1973    12      12      0       -8.6    40
1973    12      13      6.5     -10.6   40
1973    12      14      1.5     -5.8    47
1973    12      15      0       -18.2   48
1973    12      16      7       -17.2   48
1973    12      17      1.5     -5.6    56
1973    12      18      0       -13.1   58
1973    12      19      0       -16.2   58
1973    12      20      0       -23.5   58
1973    12      21      8.4     -10.4   58
1973    12      22      1.5     -1.7    67
1973    12      23      0       -4.7    70
1973    12      24      0.5     -9.4    71
1973    12      25      0       -17.2   72
1973    12      26      1       -12.4   72
1973    12      27      0.4     -3.7    72
1973    12      28      0       -2.7    73
1973    12      29      0       -2.9    73
1973    12      30      0       0       73
1973    12      31      0       -1.8    77
1974    1       1       0.2     -3.1    76
1974    1       2       0       -9      76
1974    1       3       0       -10.6   76
1974    1       4       0       -10.7   76
1974    1       5       0       -13.2   76
1974    1       6       1.1     -5.7    76
1974    1       7       0.1     -1.5    76
1974    1       8       0       -3.2    77
1974    1       9       0.8     -3.1    78
1974    1       10      0       -1.4    80
1974    1       11      0       -2.3    81
1974    1       12      1.7     -4.1    81
1974    1       13      1.2     -3.7    83
1974    1       14      3.5     -0.3    85
1974    1       15      1.6     0.5     92
1974    1       16      1       -1.2    93
1974    1       17      0       -9.7    94
1974    1       18      0       -9.5    95
1974    1       19      0       -1      94
1974    1       20      0       -4.1    94
1974    1       21      0       -5.9    96
1974    1       22      0       -0.8    94
1974    1       23      7.1     -8.5    95
1974    1       24      0       -6.2    105
1974    1       25      0       -6.3    104
1974    1       26      0       -9.2    104
1974    1       27      0       -7.9    104
1974    1       28      0       -1.4    104
1974    1       29      2       -2.4    109
1974    1       30      0.6     -4.1    110
1974    1       31      1.2     -2.7    111
1974    2       1       0       -1.9    112
1974    2       2       0       -7.7    113
1974    2       3       1.9     -10.7   114
1974    2       4       3.7     -5.4    116
1974    2       5       1.7     -7.9    120
1974    2       6       0.7     -3.3    123
1974    2       7       0.9     -5.4    124
1974    2       8       4.3     -6.9    126
1974    2       9       0       -5.6    128
1974    2       10      4.5     -12     128
1974    2       11      11.3    -11.1   136
1974    2       12      5       -2.5    153
1974    2       13      0       0.9     156
1974    2       14      5.9     -8.4    157
1974    2       15      1.1     -2.6    165
1974    2       16      0       -0.2    165
1974    2       17      0       -1.4    165
1974    2       18      0       -4.5    165
