Location Names,Paso Pache (Ruta 5 Nueva)
Location Ids,59.1
Time,Q.obs
2011-01-01 00:00:00,2.707
2011-01-01 00:15:00,2.707
2011-01-01 02:00:00,2.883
2011-01-01 02:15:00,2.883
2011-01-01 12:00:00,2.707
2011-01-01 12:15:00,2.707
2011-01-01 13:15:00,2.538
2011-01-01 13:30:00,2.538
2011-01-01 14:15:00,2.376
2011-01-01 14:30:00,2.221
2011-01-01 14:45:00,2.221
2011-01-01 15:00:00,2.054
2011-01-01 15:30:00,2.054
2011-01-01 15:45:00,1.738
2011-01-01 17:00:00,1.738
2011-01-01 17:15:00,1.464
2011-01-01 18:30:00,1.464
2011-01-01 18:45:00,1.738
2011-01-01 19:00:00,1.738
2011-01-01 19:15:00,2.054
2011-01-01 19:30:00,2.221
2011-01-01 19:45:00,2.221
2011-01-01 20:45:00,2.376
2011-01-01 21:00:00,2.376
2011-01-01 22:30:00,2.538
2011-01-01 22:45:00,2.538
2011-01-02 00:00:00,2.707
2011-01-02 00:15:00,2.707
2011-01-02 02:45:00,2.883
2011-01-02 03:00:00,2.883
2011-01-02 08:45:00,2.707
2011-01-02 09:00:00,2.707
2011-01-02 10:45:00,2.538
2011-01-02 11:00:00,2.538
2011-01-02 13:30:00,2.376
2011-01-02 13:45:00,2.376
2011-01-02 14:45:00,2.376
2011-01-02 15:00:00,2.707
2011-01-02 15:15:00,2.538
2011-01-02 16:30:00,2.376
2011-01-02 16:45:00,2.376
2011-01-02 17:00:00,2.376
2011-01-02 17:15:00,2.538
2011-01-02 18:00:00,2.376
2011-01-02 18:15:00,2.221
2011-01-02 19:15:00,2.376
2011-01-02 19:30:00,2.538
2011-01-02 20:15:00,2.538
2011-01-02 20:30:00,2.538
2011-01-02 22:15:00,2.707
2011-01-02 22:30:00,2.707
2011-01-03 00:00:00,2.883
2011-01-03 00:15:00,2.883
2011-01-03 09:00:00,2.707
2011-01-03 09:15:00,2.707
2011-01-03 10:00:00,2.538
2011-01-03 10:15:00,2.538
2011-01-03 11:00:00,2.376
2011-01-03 11:15:00,2.221
2011-01-03 12:15:00,2.221
2011-01-03 12:30:00,2.054
2011-01-03 13:30:00,2.054
2011-01-03 13:45:00,1.738
2011-01-03 15:45:00,1.738
2011-01-03 16:00:00,1.464
2011-01-03 17:45:00,1.738
2011-01-03 18:00:00,2.054
2011-01-03 20:15:00,2.054
2011-01-03 20:30:00,2.221
2011-01-03 22:45:00,2.221
2011-01-03 23:00:00,2.376
2011-01-04 00:00:00,2.376
2011-01-04 00:15:00,2.376
2011-01-04 03:15:00,2.538
2011-01-04 03:30:00,2.538
2011-01-04 10:30:00,2.538
2011-01-04 10:45:00,2.376
2011-01-04 12:30:00,2.376
2011-01-04 12:45:00,2.221
2011-01-04 13:45:00,2.221
2011-01-04 14:00:00,2.054
2011-01-04 15:15:00,2.054
2011-01-04 15:30:00,1.738
2011-01-04 16:30:00,1.738
2011-01-04 16:45:00,2.054
2011-01-04 21:00:00,2.221
2011-01-04 21:15:00,2.221
2011-01-04 22:00:00,2.376
2011-01-04 22:15:00,2.376
2011-01-05 00:00:00,2.538
2011-01-05 00:15:00,2.538
2011-01-05 11:00:00,2.538
2011-01-05 11:15:00,2.376
2011-01-05 12:30:00,2.376
2011-01-05 12:45:00,2.221
2011-01-05 13:00:00,2.054
2011-01-05 13:15:00,2.054
2011-01-05 14:00:00,1.738
2011-01-05 14:15:00,1.738
2011-01-05 14:30:00,1.738
2011-01-05 14:45:00,1.228
2011-01-05 15:45:00,1.228
2011-01-05 16:00:00,1.738
2011-01-05 16:15:00,2.054
2011-01-05 16:30:00,1.464
2011-01-05 16:45:00,1.026
2011-01-05 17:00:00,1.026
2011-01-05 17:15:00,0.853
2011-01-05 17:30:00,0.706
2011-01-05 17:45:00,0.706
2011-01-05 18:15:00,0.582
2011-01-05 18:30:00,0.582
2011-01-05 19:15:00,0.706
2011-01-05 19:30:00,0.706
2011-01-05 19:45:00,0.853
2011-01-05 20:00:00,1.026
2011-01-05 20:15:00,1.026
2011-01-05 20:30:00,1.228
2011-01-05 21:00:00,1.228
2011-01-05 21:15:00,1.464
2011-01-05 22:15:00,1.738
2011-01-05 22:30:00,1.738
2011-01-06 00:00:00,2.054
2011-01-06 00:15:00,2.054
2011-01-06 01:45:00,2.054
2011-01-06 02:00:00,2.221
2011-01-06 03:15:00,2.376
2011-01-06 03:30:00,2.376
2011-01-06 05:00:00,2.538
2011-01-06 05:15:00,2.538
2011-01-06 07:45:00,2.376
2011-01-06 08:00:00,2.376
2011-01-06 08:30:00,2.221
2011-01-06 08:45:00,2.221
2011-01-06 09:15:00,2.054
2011-01-06 09:30:00,1.738
2011-01-06 09:45:00,1.464
2011-01-06 10:00:00,1.228
2011-01-06 10:15:00,1.228
2011-01-06 10:30:00,1.026
2011-01-06 10:45:00,0.706
2011-01-06 11:00:00,0.582
2011-01-06 11:30:00,0.476
2011-01-06 11:45:00,0.388
2011-01-06 12:00:00,0.388
2011-01-06 12:15:00,0.314
2011-01-06 12:45:00,0.253
2011-01-06 13:00:00,0.253
2011-01-06 13:30:00,0.202
2011-01-06 13:45:00,0.202
2011-01-06 14:30:00,0.160
2011-01-06 14:45:00,0.160
2011-01-06 15:45:00,0.126
2011-01-06 16:00:00,0.099
2011-01-06 20:00:00,0.126
2011-01-06 20:15:00,0.160
2011-01-06 20:30:00,0.160
2011-01-06 20:45:00,0.202
2011-01-06 21:00:00,0.202
2011-01-06 21:15:00,0.253
2011-01-06 21:30:00,0.314
2011-01-06 21:45:00,0.314
2011-01-06 22:00:00,0.388
2011-01-06 22:15:00,0.388
2011-01-06 22:45:00,0.476
2011-01-06 23:00:00,0.476
2011-01-06 23:30:00,0.582
2011-01-06 23:45:00,0.706
