Location Names,Paso Pache (Ruta 5 Nueva)
2007-09-17 01:00:00,501.527
2007-09-17 01:15:00,503.625
2007-09-17 01:30:00,507.835
2007-09-17 01:45:00,507.835
2007-09-17 02:00:00,512.060
2007-09-17 02:15:00,516.302
2007-09-17 02:30:00,518.429
2007-09-17 02:45:00,520.560
2007-09-17 03:00:00,524.835
2007-09-17 03:15:00,526.978
2007-09-17 03:30:00,531.277
2007-09-17 03:45:00,535.593
2007-09-17 04:00:00,539.924
2007-09-17 04:15:00,539.924
2007-09-17 04:30:00,546.452
2007-09-17 04:45:00,550.824
2007-09-17 05:00:00,555.213
2007-09-17 05:15:00,557.413
2007-09-17 05:30:00,561.826
2007-09-17 05:45:00,566.255
2007-09-17 06:00:00,568.475
2007-09-17 06:15:00,572.928
2007-09-17 06:30:00,575.161
2007-09-17 06:45:00,579.639
2007-09-17 07:00:00,584.132
2007-09-17 07:15:00,586.385
2007-09-17 07:30:00,588.642
2007-09-17 07:45:00,590.903
2007-09-17 08:00:00,595.437
2007-09-17 08:15:00,599.987
2007-09-17 08:30:00,602.269
2007-09-17 08:45:00,604.554
2007-09-17 09:00:00,609.136
2007-09-17 09:15:00,611.434
2007-09-17 09:30:00,613.735
2007-09-17 09:45:00,620.663
2007-09-17 10:00:00,620.663
2007-09-17 10:15:00,625.302
2007-09-17 10:30:00,627.628
2007-09-17 10:45:00,629.957
2007-09-17 11:00:00,634.628
2007-09-17 11:15:00,632.291
2007-09-17 11:30:00,636.970
2007-09-17 11:45:00,636.970
2007-09-17 12:00:00,641.665
2007-09-17 12:15:00,644.019
2007-09-17 12:30:00,646.376
2007-09-17 13:00:00,648.738
2007-09-17 13:15:00,653.473
2007-09-17 13:30:00,655.847
2007-09-17 13:45:00,653.473
2007-09-17 14:00:00,655.847
2007-09-17 14:15:00,658.225
2007-09-17 14:30:00,660.606
2007-09-17 14:45:00,660.606
2007-09-17 15:00:00,662.992
2007-09-17 15:15:00,665.382
2007-09-17 15:30:00,665.382
2007-09-17 16:30:00,667.776
2007-09-17 16:45:00,670.173
2007-09-17 17:45:00,670.173
2007-09-17 18:00:00,674.981
2007-09-17 19:15:00,674.981
2007-09-17 19:30:00,672.575
2007-09-17 19:45:00,674.981
2007-09-17 20:00:00,672.575
2007-09-17 20:45:00,672.575
2007-09-17 21:00:00,670.173
2007-09-17 21:15:00,672.575
2007-09-17 21:30:00,667.776
2007-09-17 21:45:00,667.776
2007-09-17 22:00:00,670.173
2007-09-17 22:15:00,667.776
2007-09-17 22:30:00,670.173
2007-09-17 22:45:00,665.382
2007-09-17 23:15:00,665.382
2007-09-17 23:30:00,660.606
2007-09-17 23:45:00,665.382
2007-09-18 00:00:00,662.992
2007-09-18 00:15:00,665.382
2007-09-18 00:30:00,662.992
2007-09-18 01:15:00,660.606
2007-09-18 01:30:00,658.225
2007-09-18 02:30:00,655.847
2007-09-18 02:45:00,655.847
2007-09-18 04:45:00,655.847
2007-09-18 05:00:00,658.225
2007-09-18 05:15:00,660.606
2007-09-18 05:30:00,662.992
2007-09-18 05:45:00,665.382
2007-09-18 06:00:00,667.776
2007-09-18 06:30:00,670.173
2007-09-18 06:45:00,674.981
2007-09-18 07:00:00,674.981
2007-09-18 07:15:00,679.804
2007-09-18 07:30:00,679.804
2007-09-18 07:45:00,684.644
2007-09-18 08:00:00,689.499
2007-09-18 08:15:00,689.499
2007-09-18 08:30:00,694.371
2007-09-18 09:15:00,696.813
2007-09-18 09:30:00,701.708
2007-09-18 09:45:00,701.708
2007-09-18 10:00:00,704.162
2007-09-18 10:45:00,706.619
2007-09-18 11:00:00,709.081
2007-09-18 11:15:00,706.619
2007-09-18 11:30:00,709.081
2007-09-18 12:00:00,712.010
2007-09-18 12:15:00,715.177
2007-09-18 13:15:00,715.177
2007-09-18 13:30:00,721.535
2007-09-18 13:45:00,724.727
2007-09-18 14:00:00,727.927
2007-09-18 14:15:00,731.135
2007-09-18 14:30:00,734.351
2007-09-18 15:00:00,734.351
2007-09-18 15:15:00,744.050
2007-09-18 15:30:00,740.809
2007-09-18 15:45:00,747.299
2007-09-18 16:00:00,750.557
2007-09-18 16:15:00,757.097
2007-09-18 16:30:00,753.822
2007-09-18 16:45:00,757.097
2007-09-18 17:00:00,757.097
2007-09-18 17:15:00,766.969
2007-09-18 17:30:00,760.379
2007-09-18 17:45:00,763.670
2007-09-18 18:00:00,770.276
2007-09-18 21:00:00,766.969
2007-09-18 21:15:00,766.969
2007-09-18 22:15:00,766.969
2007-09-18 22:30:00,763.670
2007-09-18 23:00:00,766.969
2007-09-18 23:15:00,757.097
2007-09-18 23:30:00,763.670
2007-09-18 23:45:00,760.379
2007-09-19 00:00:00,760.379
2007-09-19 00:15:00,757.097
2007-09-19 00:30:00,763.670
2007-09-19 00:45:00,760.379
2007-09-19 01:00:00,757.097
2007-09-19 02:45:00,757.097
2007-09-19 03:00:00,753.822
2007-09-19 03:15:00,750.557
2007-09-19 03:30:00,757.097
2007-09-19 03:45:00,750.557
2007-09-19 04:00:00,757.097
2007-09-19 04:45:00,753.822
2007-09-19 05:00:00,753.822
2007-09-19 05:30:00,753.822
2007-09-19 05:45:00,760.379
2007-09-19 06:00:00,753.822
2007-09-19 06:15:00,760.379
2007-09-19 07:15:00,757.097
2007-09-19 07:30:00,763.670
2007-09-19 07:45:00,763.670
2007-09-19 08:00:00,760.379
2007-09-19 08:15:00,760.379
2007-09-19 08:30:00,763.670
2007-09-19 09:00:00,766.969
2007-09-19 09:15:00,766.969
2007-09-19 09:30:00,766.969
2007-09-19 09:45:00,773.591
2007-09-19 10:00:00,770.276
2007-09-19 10:15:00,770.276
2007-09-19 10:45:00,773.591
2007-09-19 11:00:00,773.591
2007-09-19 11:15:00,780.247
2007-09-19 11:45:00,780.247
2007-09-19 12:00:00,783.588
2007-09-19 12:30:00,786.937
2007-09-19 12:45:00,790.294
2007-09-19 13:00:00,790.294
2007-09-19 13:15:00,790.294
2007-09-19 13:30:00,793.659
2007-09-19 13:45:00,797.033
2007-09-19 14:00:00,800.415
2007-09-19 14:15:00,803.806
2007-09-19 14:45:00,807.205
2007-09-19 15:00:00,814.027
2007-09-19 15:15:00,817.451
2007-09-19 16:00:00,820.884
2007-09-19 16:15:00,824.324
2007-09-19 16:30:00,838.172
2007-09-19 16:45:00,834.697
2007-09-19 17:00:00,845.146
2007-09-19 17:30:00,845.146
2007-09-19 17:45:00,852.153
2007-09-19 18:00:00,848.645
2007-09-19 18:15:00,855.670
2007-09-19 18:30:00,859.195
2007-09-19 18:45:00,869.820
2007-09-19 19:15:00,873.379
2007-09-19 19:30:00,880.522
2007-09-19 19:45:00,884.107
2007-09-19 20:00:00,891.301
2007-09-19 20:30:00,891.301
2007-09-19 20:45:00,898.529
2007-09-19 21:00:00,905.791
2007-09-19 21:15:00,909.435
2007-09-19 21:30:00,913.087
2007-09-19 21:45:00,913.087
2007-09-19 22:00:00,920.417
2007-09-19 22:30:00,920.417
2007-09-19 22:45:00,931.477
2007-09-19 23:30:00,931.477
2007-09-19 23:45:00,938.893
2007-09-20 00:00:00,938.893
2007-09-20 00:15:00,938.893
2007-09-20 00:30:00,942.614
2007-09-20 00:45:00,946.343
2007-09-20 01:30:00,950.081
2007-09-20 01:45:00,953.828
2007-09-20 02:15:00,957.583
2007-09-20 02:30:00,961.347
2007-09-20 02:45:00,965.120
2007-09-20 03:00:00,961.347
2007-09-20 03:15:00,965.120
2007-09-20 03:30:00,961.347
2007-09-20 03:45:00,961.347
2007-09-20 04:00:00,961.347
2007-09-20 04:15:00,965.120
2007-09-20 05:30:00,965.120
2007-09-20 05:45:00,972.690
2007-09-20 06:00:00,968.901
2007-09-20 06:15:00,965.120
2007-09-20 07:00:00,961.347
2007-09-20 07:15:00,961.347
2007-09-20 08:30:00,957.583
2007-09-20 08:45:00,957.583
2007-09-20 09:15:00,953.828
2007-09-20 09:30:00,950.081
2007-09-20 09:45:00,953.828
2007-09-20 10:00:00,946.343
2007-09-20 10:15:00,950.081
2007-09-20 10:30:00,950.081
2007-09-20 10:45:00,946.343
2007-09-20 11:00:00,946.343
2007-09-20 11:15:00,938.893
2007-09-20 11:30:00,935.181
2007-09-20 12:00:00,935.181
2007-09-20 12:15:00,927.782
2007-09-20 13:00:00,924.095
2007-09-20 13:15:00,924.095
2007-09-20 13:30:00,913.087
2007-09-20 14:00:00,913.087
2007-09-20 14:15:00,905.791
2007-09-20 14:45:00,905.791
2007-09-20 15:00:00,898.529
2007-09-20 15:45:00,898.529
2007-09-20 16:00:00,891.301
2007-09-20 16:15:00,884.107
2007-09-20 16:30:00,880.522
2007-09-20 16:45:00,873.379
2007-09-20 17:00:00,869.820
2007-09-20 17:30:00,869.820
2007-09-20 17:45:00,866.270
2007-09-20 18:00:00,859.195
2007-09-20 18:15:00,866.270
2007-09-20 18:30:00,855.670
2007-09-20 18:45:00,855.670
2007-09-20 19:00:00,859.195
2007-09-20 19:15:00,855.670
2007-09-20 19:45:00,852.153
2007-09-20 20:00:00,848.645
2007-09-20 20:15:00,845.146
2007-09-20 20:30:00,841.654
2007-09-20 20:45:00,841.654
2007-09-20 21:00:00,834.697
2007-09-20 21:30:00,831.231
2007-09-20 21:45:00,831.231
2007-09-20 22:00:00,827.774
2007-09-20 22:15:00,820.884
2007-09-20 22:30:00,820.884
2007-09-20 22:45:00,814.027
2007-09-20 23:00:00,814.027
2007-09-20 23:15:00,810.612
2007-09-20 23:30:00,807.205
2007-09-20 23:45:00,800.415
2007-09-21 00:00:00,807.205
2007-09-21 00:15:00,803.806
2007-09-21 00:30:00,797.033
2007-09-21 00:45:00,793.659
2007-09-21 01:00:00,790.294
2007-09-21 01:15:00,790.294
2007-09-21 01:30:00,783.588
2007-09-21 02:00:00,780.247
2007-09-21 02:15:00,776.915
2007-09-21 02:30:00,770.276
2007-09-21 02:45:00,763.670
2007-09-21 03:00:00,763.670
2007-09-21 03:15:00,760.379
2007-09-21 03:45:00,757.097
2007-09-21 04:00:00,750.557
2007-09-21 04:15:00,750.557
2007-09-21 04:30:00,740.809
2007-09-21 04:45:00,734.351
2007-09-21 05:00:00,734.351
2007-09-21 05:15:00,731.135
2007-09-21 05:30:00,727.927
2007-09-21 05:45:00,721.535
2007-09-21 06:00:00,718.352
2007-09-21 06:15:00,715.177
2007-09-21 06:30:00,712.010
2007-09-21 06:45:00,709.081
2007-09-21 07:00:00,706.619
2007-09-21 07:15:00,701.708
2007-09-21 07:30:00,699.258
2007-09-21 07:45:00,694.371
2007-09-21 08:00:00,691.933
2007-09-21 08:15:00,687.070
2007-09-21 08:30:00,684.644
2007-09-21 08:45:00,682.222
2007-09-21 09:00:00,677.391
2007-09-21 09:15:00,674.981
2007-09-21 09:30:00,670.173
2007-09-21 09:45:00,665.382
2007-09-21 10:00:00,662.992
2007-09-21 10:15:00,658.225
2007-09-21 10:30:00,653.473
2007-09-21 10:45:00,651.104
2007-09-21 11:00:00,644.019
2007-09-21 11:15:00,641.665
2007-09-21 11:30:00,636.970
2007-09-21 11:45:00,632.291
2007-09-21 12:00:00,629.957
2007-09-21 12:15:00,622.981
2007-09-21 12:30:00,620.663
2007-09-21 12:45:00,616.040
2007-09-21 13:00:00,609.136
2007-09-21 13:15:00,606.843
2007-09-21 13:30:00,599.987
2007-09-21 13:45:00,595.437
2007-09-21 14:00:00,588.642
2007-09-21 14:15:00,584.132
2007-09-21 14:30:00,577.398
2007-09-21 14:45:00,570.700
2007-09-21 15:00:00,566.255
2007-09-21 15:15:00,561.826
2007-09-21 15:30:00,555.213
2007-09-21 15:45:00,550.824
2007-09-21 16:00:00,544.272
2007-09-21 16:15:00,537.756
2007-09-21 16:30:00,533.433
2007-09-21 16:45:00,526.978
2007-09-21 17:00:00,522.696
2007-09-21 17:15:00,518.429
2007-09-21 17:30:00,512.060
2007-09-21 17:45:00,507.835
2007-09-21 18:00:00,501.527
2007-09-21 18:15:00,499.432
2007-09-21 18:30:00,491.095
2007-09-21 18:45:00,486.951
2007-09-21 19:00:00,482.824
2007-09-21 19:15:00,478.712
2007-09-21 19:30:00,472.576
2007-09-21 19:45:00,466.477
2007-09-21 20:00:00,462.432
2007-09-21 20:15:00,454.390
2007-09-21 20:30:00,448.401
2007-09-21 20:45:00,444.430
2007-09-21 21:00:00,438.503
2007-09-21 21:15:00,432.614
2007-09-21 21:30:00,426.762
2007-09-21 21:45:00,420.947
2007-09-21 22:00:00,415.169
2007-09-21 22:15:00,409.428
2007-09-21 22:30:00,405.621
2007-09-21 22:45:00,399.943
2007-09-21 23:00:00,394.302
2007-09-21 23:15:00,386.838
2007-09-21 23:30:00,381.284
2007-09-21 23:45:00,375.768
2007-09-22 00:00:00,370.289
2007-09-22 00:15:00,366.657
2007-09-22 00:30:00,359.443
2007-09-22 00:45:00,354.077
2007-09-22 01:00:00,348.748
2007-09-22 01:15:00,343.457
2007-09-22 01:30:00,338.204
2007-09-22 01:45:00,332.988
2007-09-22 02:00:00,327.810
2007-09-22 02:15:00,322.670
2007-09-22 02:30:00,315.876
2007-09-22 02:45:00,310.824
2007-09-22 03:00:00,305.811
2007-09-22 03:15:00,299.185
2007-09-22 03:30:00,295.898
2007-09-22 03:45:00,291.232
2007-09-22 04:00:00,287.367
2007-09-22 04:15:00,282.239
2007-09-22 04:30:00,279.686
2007-09-22 04:45:00,275.872
2007-09-22 05:00:00,272.074
2007-09-22 05:15:00,269.552
2007-09-22 05:30:00,264.531
2007-09-22 05:45:00,262.032
2007-09-22 06:00:00,258.298
2007-09-22 06:15:00,254.582
2007-09-22 06:30:00,250.884
2007-09-22 06:45:00,248.428
2007-09-22 07:00:00,243.540
2007-09-22 07:15:00,241.108
2007-09-22 07:30:00,237.474
2007-09-22 07:45:00,233.859
2007-09-22 08:00:00,230.262
2007-09-22 08:15:00,227.875
2007-09-22 08:30:00,224.308
2007-09-22 08:45:00,220.760
2007-09-22 09:00:00,219.582
2007-09-22 09:15:00,216.058
2007-09-22 09:30:00,213.720
2007-09-22 09:45:00,211.390
2007-09-22 10:00:00,207.910
2007-09-22 10:15:00,206.755
2007-09-22 10:30:00,204.450
2007-09-22 10:45:00,201.008
2007-09-22 11:00:00,198.725
2007-09-22 11:15:00,196.449
2007-09-22 11:30:00,194.183
2007-09-22 11:45:00,191.925
2007-09-22 12:00:00,190.779
2007-09-22 12:15:00,188.273
2007-09-22 12:30:00,185.785
2007-09-22 12:45:00,183.314
2007-09-22 13:00:00,180.861
2007-09-22 13:15:00,179.641
2007-09-22 13:30:00,176.007
2007-09-22 13:45:00,174.804
2007-09-22 14:00:00,173.606
2007-09-22 14:15:00,171.222
2007-09-22 14:30:00,168.856
2007-09-22 14:45:00,166.507
2007-09-22 15:00:00,165.340
2007-09-22 15:15:00,163.017
2007-09-22 15:30:00,160.712
2007-09-22 15:45:00,159.566
2007-09-22 16:00:00,156.153
2007-09-22 16:15:00,156.153
2007-09-22 16:30:00,153.900
2007-09-22 16:45:00,152.780
2007-09-22 17:00:00,150.553
2007-09-22 17:15:00,149.445
2007-09-22 17:30:00,148.343
2007-09-22 17:45:00,147.244
2007-09-22 18:00:00,147.244
2007-09-22 18:30:00,146.150
2007-09-22 18:45:00,145.060
2007-09-22 19:00:00,145.060
2007-09-22 19:15:00,142.893
2007-09-22 19:30:00,141.816
2007-09-22 19:45:00,140.744
2007-09-22 20:00:00,139.675
2007-09-22 20:15:00,139.675
2007-09-22 20:30:00,137.552
2007-09-22 20:45:00,137.552
2007-09-22 21:00:00,136.496
2007-09-22 21:15:00,135.445
