Location Names,Dayman Pte. R-3,Dayman Pte. R-3
Location Ids,140.0,140.0
Time,H.obs,Q.obs
2022-08-14 19:30:00,0.71,6.29
2022-08-14 20:00:00,0.71,6.29
2022-08-14 20:30:00,0.7,6.29
2022-08-14 21:00:00,0.7,6.29
2022-08-14 21:30:00,0.7,6.29
2022-08-14 22:00:00,0.7,6.29
2022-08-14 22:30:00,0.7,6.29
2022-08-14 23:00:00,0.7,7.11
2022-08-14 23:30:00,0.7,7.11
2022-08-15 00:00:00,0.7,6.29
2022-08-15 00:30:00,0.69,6.55
2022-08-15 01:00:00,0.69,6.29
2022-08-15 01:30:00,0.69,6.29
2022-08-15 02:00:00,0.69,7.11
2022-08-15 02:30:00,0.69,6.55
2022-08-15 03:00:00,0.69,6.83
2022-08-15 03:30:00,0.69,6.83
2022-08-15 04:00:00,0.69,6.83
2022-08-15 04:30:00,0.69,6.83
2022-08-15 05:00:00,0.69,6.83
2022-08-15 05:30:00,0.69,6.55
2022-08-15 06:00:00,0.68,6.83
2022-08-15 06:30:00,0.68,6.55
2022-08-15 07:00:00,0.68,6.55
2022-08-15 07:30:00,0.68,6.29
2022-08-15 08:00:00,0.66,6.29
2022-08-15 08:30:00,0.65,6.29
2022-08-15 09:00:00,0.65,6.29
2022-08-15 09:30:00,0.65,6.29
2022-08-15 10:00:00,0.65,6.29
2022-08-15 10:30:00,0.65,6.29
2022-08-15 11:00:00,0.65,6.29
2022-08-15 11:30:00,0.65,6.29
2022-08-15 12:00:00,0.68,6.29
2022-08-15 12:30:00,0.68,6.29
2022-08-15 13:00:00,0.65,6.03
2022-08-15 13:30:00,0.66,6.03
2022-08-15 14:00:00,0.65,6.03
2022-08-15 14:30:00,0.65,6.03
2022-08-15 15:00:00,0.68,6.03
2022-08-15 15:30:00,0.66,6.03
2022-08-15 16:00:00,0.67,6.03
2022-08-15 16:30:00,0.67,5.53
2022-08-15 17:00:00,0.67,5.53
2022-08-15 17:30:00,0.67,5.53
2022-08-15 18:00:00,0.67,5.77
2022-08-15 18:30:00,0.66,6.03
2022-08-15 19:00:00,0.67,5.3
2022-08-15 19:30:00,0.66,5.3
2022-08-15 20:00:00,0.66,5.3
2022-08-15 20:30:00,0.65,5.07
