Location Names,Po. de la Compañía,Po. de la Compañía
Location Ids,61.0,61.0
Time,H.obs,Q.obs
2022-08-11 02:30:00,0.99,12.76
2022-08-11 03:00:00,0.98,12.52
2022-08-11 03:30:00,0.98,12.52
2022-08-11 04:00:00,0.98,12.52
2022-08-11 04:30:00,0.97,12.28
2022-08-11 05:00:00,0.97,12.28
2022-08-11 05:30:00,0.97,12.28
2022-08-11 06:00:00,0.96,12.05
2022-08-11 06:30:00,0.96,12.05
2022-08-11 07:00:00,0.96,12.05
2022-08-11 07:30:00,0.95,11.82
2022-08-11 08:00:00,0.95,11.82
2022-08-11 08:30:00,0.95,11.82
2022-08-11 09:00:00,0.94,11.58
2022-08-11 09:30:00,0.94,11.58
2022-08-11 10:00:00,0.94,11.58
2022-08-11 10:30:00,0.94,11.58
2022-08-11 11:00:00,0.93,11.35
2022-08-11 11:30:00,0.93,11.35
2022-08-11 12:00:00,0.93,11.35
2022-08-11 12:30:00,0.93,11.35
2022-08-11 13:00:00,0.93,11.35
2022-08-11 13:30:00,0.92,11.12
2022-08-11 14:00:00,0.92,11.12
2022-08-11 14:30:00,0.92,11.12
2022-08-11 15:00:00,0.91,10.89
2022-08-11 15:30:00,0.91,10.89
2022-08-11 16:00:00,0.91,10.89
2022-08-11 16:30:00,0.91,10.89
2022-08-11 17:00:00,0.9,10.66
2022-08-11 17:30:00,0.9,10.66
2022-08-11 18:00:00,0.9,10.66
2022-08-11 18:30:00,0.9,10.66
2022-08-11 19:00:00,0.89,10.44
2022-08-11 19:30:00,0.89,10.44
2022-08-11 20:00:00,0.89,10.44
2022-08-11 20:30:00,0.88,10.21
2022-08-11 21:00:00,0.88,10.21
2022-08-11 21:30:00,0.88,10.21
2022-08-11 22:00:00,0.88,10.21
2022-08-11 22:30:00,0.87,9.99
2022-08-11 23:00:00,0.87,9.99
2022-08-11 23:30:00,0.87,9.99
2022-08-12 00:00:00,0.87,9.99
2022-08-12 00:30:00,0.87,9.99
2022-08-12 01:00:00,0.86,9.76
2022-08-12 01:30:00,0.86,9.76
2022-08-12 02:00:00,0.86,9.76
2022-08-12 02:30:00,0.86,9.76
2022-08-12 03:00:00,0.86,9.76
2022-08-12 03:30:00,0.85,9.54
2022-08-12 04:00:00,0.85,9.54
2022-08-12 04:30:00,0.85,9.54
2022-08-12 05:00:00,0.84,9.19
2022-08-12 05:30:00,0.84,9.19
2022-08-12 06:00:00,0.84,9.19
2022-08-12 06:30:00,0.84,9.19
2022-08-12 07:00:00,0.84,9.19
2022-08-12 07:30:00,0.83,8.82
2022-08-12 08:00:00,0.83,8.82
2022-08-12 08:30:00,0.83,8.82
2022-08-12 09:00:00,0.83,8.82
2022-08-12 09:30:00,0.83,8.82
2022-08-12 10:00:00,0.82,8.46
2022-08-12 10:30:00,0.82,8.46
2022-08-12 11:00:00,0.82,8.46
2022-08-12 11:30:00,0.82,8.46
2022-08-12 12:00:00,0.82,8.46
2022-08-12 12:30:00,0.82,8.46
2022-08-12 13:00:00,0.82,8.46
2022-08-12 13:30:00,0.81,8.11
2022-08-12 14:00:00,0.81,8.11
2022-08-12 14:30:00,0.81,8.11
2022-08-12 15:00:00,0.81,8.11
2022-08-12 15:30:00,0.81,8.11
2022-08-12 16:00:00,0.81,8.11
2022-08-12 16:30:00,0.81,8.11
2022-08-12 17:00:00,0.8,7.76
2022-08-12 17:30:00,0.8,7.76
2022-08-12 18:00:00,0.8,7.76
2022-08-12 18:30:00,0.8,7.76
2022-08-12 19:00:00,0.8,7.76
2022-08-12 19:30:00,0.8,7.76
2022-08-12 20:00:00,0.79,7.43
2022-08-12 20:30:00,0.79,7.43
2022-08-12 21:00:00,0.79,7.43
2022-08-12 21:30:00,0.79,7.43
2022-08-12 22:00:00,0.79,7.43
2022-08-12 22:30:00,0.79,7.43
