Location Names,Picada de Coelho,Picada de Coelho
Location Ids,55.1,55.1
Time,H.obs,Q.obs
2022-08-08 00:00:00,5.82,360.5
2022-08-08 00:30:00,5.81,353.44
2022-08-08 01:00:00,5.8,346.5
2022-08-08 01:30:00,5.8,346.5
2022-08-08 02:00:00,5.8,346.5
2022-08-08 02:30:00,5.8,346.5
2022-08-08 03:00:00,5.8,346.5
2022-08-08 03:30:00,5.79,339.68
2022-08-08 04:00:00,5.79,339.68
2022-08-08 04:30:00,5.78,333.62
2022-08-08 05:00:00,5.78,333.62
2022-08-08 05:30:00,5.77,328.75
2022-08-08 06:00:00,5.77,328.75
2022-08-08 06:30:00,5.77,328.75
2022-08-08 07:00:00,5.76,323.94
2022-08-08 07:30:00,5.77,328.75
2022-08-08 08:00:00,5.76,323.94
2022-08-08 08:30:00,5.76,323.94
2022-08-08 09:00:00,5.75,319.2
2022-08-08 09:30:00,5.75,319.2
2022-08-08 10:00:00,5.74,314.51
2022-08-08 10:30:00,5.75,319.2
2022-08-08 11:00:00,5.74,314.51
2022-08-08 11:30:00,5.74,314.51
2022-08-08 12:00:00,5.73,309.88
2022-08-08 12:30:00,5.73,309.88
2022-08-08 13:00:00,5.73,309.88
2022-08-08 13:30:00,5.72,305.32
2022-08-08 14:00:00,5.72,305.32
2022-08-08 14:30:00,5.72,305.32
2022-08-08 15:00:00,5.72,305.32
2022-08-08 15:30:00,5.72,305.32
2022-08-08 16:00:00,5.71,300.81
2022-08-08 16:30:00,5.7,296.36
2022-08-08 17:00:00,5.7,296.36
2022-08-08 17:30:00,5.7,296.36
2022-08-08 18:00:00,5.7,296.36
2022-08-08 18:30:00,5.69,291.96
2022-08-08 19:00:00,5.69,291.96
2022-08-08 19:30:00,5.68,287.63
2022-08-08 20:00:00,5.68,287.63
2022-08-08 20:30:00,5.68,287.63
2022-08-08 21:00:00,5.67,283.34
2022-08-08 21:30:00,5.68,287.63
2022-08-08 22:00:00,5.67,283.34
2022-08-08 22:30:00,5.67,283.34
2022-08-08 23:00:00,5.67,283.34
2022-08-08 23:30:00,5.66,279.12
2022-08-09 00:00:00,5.66,279.12
2022-08-09 00:30:00,5.64,270.83
2022-08-09 01:00:00,5.65,274.94
2022-08-09 01:30:00,5.65,274.94
2022-08-09 02:00:00,5.64,270.83
2022-08-09 02:30:00,5.64,270.83
2022-08-09 03:00:00,5.64,270.83
2022-08-09 03:30:00,5.63,266.76
2022-08-09 04:00:00,5.62,262.75
2022-08-09 04:30:00,5.63,266.76
2022-08-09 05:00:00,5.61,258.79
2022-08-09 05:30:00,5.61,258.79
2022-08-09 06:00:00,5.62,262.75
2022-08-09 06:30:00,5.61,258.79
2022-08-09 07:00:00,5.61,258.79
2022-08-09 07:30:00,5.6,254.88
2022-08-09 08:00:00,5.6,254.88
2022-08-09 08:30:00,5.6,254.88
2022-08-09 09:00:00,5.59,251.02
2022-08-09 09:30:00,5.59,251.02
2022-08-09 10:00:00,5.58,247.22
2022-08-09 10:30:00,5.58,247.22
2022-08-09 11:00:00,5.58,247.22
2022-08-09 11:30:00,5.58,247.22
2022-08-09 12:00:00,5.57,243.46
2022-08-09 12:30:00,5.56,239.75
2022-08-09 13:00:00,5.56,239.75
2022-08-09 13:30:00,5.55,236.09
2022-08-09 14:00:00,5.55,236.09
2022-08-09 14:30:00,5.55,236.09
2022-08-09 15:00:00,5.55,236.09
2022-08-09 15:30:00,5.54,232.48
2022-08-09 16:00:00,5.53,228.92
2022-08-09 16:30:00,5.53,228.92
2022-08-09 17:00:00,5.53,228.92
2022-08-09 17:30:00,5.53,228.92
2022-08-09 18:00:00,5.52,225.4
2022-08-09 18:30:00,5.52,225.4
2022-08-09 19:00:00,5.51,221.94
2022-08-09 19:30:00,5.51,221.94
2022-08-09 20:00:00,5.51,221.94
2022-08-09 20:30:00,5.5,218.51
2022-08-09 21:00:00,5.49,215.14
2022-08-09 21:30:00,5.49,215.14
2022-08-09 22:00:00,5.49,215.14
2022-08-09 22:30:00,5.48,211.8
2022-08-09 23:00:00,5.48,211.8
2022-08-09 23:30:00,5.47,208.52
2022-08-10 00:00:00,5.47,208.52
2022-08-10 00:30:00,5.46,205.27
2022-08-10 01:00:00,5.46,205.27
2022-08-10 01:30:00,5.46,205.27
2022-08-10 02:00:00,5.45,202.07
2022-08-10 02:30:00,5.45,202.07
2022-08-10 03:00:00,5.44,198.92
2022-08-10 03:30:00,5.44,198.92
2022-08-10 04:00:00,5.43,195.8
2022-08-10 04:30:00,5.43,195.8
2022-08-10 05:00:00,5.43,195.8
2022-08-10 05:30:00,5.42,192.73
2022-08-10 06:00:00,5.42,192.73
2022-08-10 06:30:00,5.41,189.7
2022-08-10 07:00:00,5.4,186.71
2022-08-10 07:30:00,5.4,186.71
2022-08-10 08:00:00,5.39,183.77
2022-08-10 08:30:00,5.39,183.77
2022-08-10 09:00:00,5.38,180.86
2022-08-10 09:30:00,5.38,180.86
2022-08-10 10:00:00,5.38,180.86
2022-08-10 10:30:00,5.37,177.99
2022-08-10 11:00:00,5.36,175.16
2022-08-10 11:30:00,5.36,175.16
2022-08-10 12:00:00,5.35,172.37
2022-08-10 12:30:00,5.35,172.37
2022-08-10 13:00:00,5.34,169.62
2022-08-10 13:30:00,5.34,169.62
2022-08-10 14:00:00,5.33,166.91
2022-08-10 14:30:00,5.33,166.91
2022-08-10 15:00:00,5.32,164.23
2022-08-10 15:30:00,5.32,164.23
2022-08-10 16:00:00,5.31,161.6
2022-08-10 16:30:00,5.3,158.99
2022-08-10 17:00:00,5.3,158.99
2022-08-10 17:30:00,5.3,158.99
2022-08-10 18:00:00,5.29,156.43
2022-08-10 18:30:00,5.28,153.9
2022-08-10 19:00:00,5.28,153.9
2022-08-10 19:30:00,5.27,151.4
2022-08-10 20:00:00,5.26,148.94
2022-08-10 20:30:00,5.26,148.94
2022-08-10 21:00:00,5.25,146.52
2022-08-10 21:30:00,5.24,144.13
2022-08-10 22:00:00,5.24,144.13
2022-08-10 22:30:00,5.23,141.77
2022-08-10 23:00:00,5.23,141.77
2022-08-10 23:30:00,5.22,139.45
2022-08-11 00:00:00,5.22,139.45
2022-08-11 00:30:00,5.21,137.16
2022-08-11 01:00:00,5.2,134.9
2022-08-11 01:30:00,5.2,134.9
2022-08-11 02:00:00,5.19,132.67
2022-08-11 02:30:00,5.18,130.48
2022-08-11 03:00:00,5.18,130.48
2022-08-11 03:30:00,5.17,128.32
2022-08-11 04:00:00,5.16,126.19
2022-08-11 04:30:00,5.16,126.19
2022-08-11 05:00:00,5.15,124.09
2022-08-11 05:30:00,5.14,122.01
2022-08-11 06:00:00,5.14,122.01
2022-08-11 06:30:00,5.13,119.97
2022-08-11 07:00:00,5.12,117.96
