Location Names,Queguay Pte. R-3,Queguay Pte. R-3
Location Ids,141.0,141.0
Time,H.obs,Q.obs
2022-08-08 00:00:00,6.57,676.14
2022-08-08 00:30:00,6.58,678.88
2022-08-08 01:00:00,6.58,678.88
2022-08-08 01:30:00,6.61,687.13
2022-08-08 02:00:00,6.61,687.13
2022-08-08 02:30:00,6.63,692.67
2022-08-08 03:00:00,6.63,692.67
2022-08-08 03:30:00,6.64,695.45
2022-08-08 04:00:00,6.65,698.23
2022-08-08 04:30:00,6.66,701.02
2022-08-08 05:00:00,6.67,703.82
2022-08-08 05:30:00,6.68,706.63
2022-08-08 06:00:00,6.69,709.44
2022-08-08 06:30:00,6.71,715.08
2022-08-08 07:00:00,6.71,715.08
2022-08-08 07:30:00,6.72,717.91
2022-08-08 08:00:00,6.73,720.75
2022-08-08 08:30:00,6.74,723.59
2022-08-08 09:00:00,6.75,726.44
2022-08-08 09:30:00,6.75,726.44
2022-08-08 10:00:00,6.76,729.3
2022-08-08 10:30:00,6.77,732.16
2022-08-08 11:00:00,6.77,732.16
2022-08-08 11:30:00,6.78,735.03
2022-08-08 12:00:00,6.79,737.91
2022-08-08 12:30:00,6.79,737.91
2022-08-08 13:00:00,6.79,737.91
2022-08-08 13:30:00,6.8,740.79
2022-08-08 14:00:00,6.81,743.68
2022-08-08 14:30:00,6.81,743.68
2022-08-08 15:00:00,6.82,746.58
2022-08-08 15:30:00,6.83,749.48
2022-08-08 16:00:00,6.82,746.58
2022-08-08 16:30:00,6.83,749.48
2022-08-08 17:00:00,6.84,752.39
2022-08-08 17:30:00,6.84,752.39
2022-08-08 18:00:00,6.84,752.39
2022-08-08 18:30:00,6.85,755.31
2022-08-08 19:00:00,6.85,755.31
2022-08-08 19:30:00,6.85,755.31
2022-08-08 20:00:00,6.85,755.31
2022-08-08 20:30:00,6.84,752.39
2022-08-08 21:00:00,6.85,755.31
2022-08-08 21:30:00,6.85,755.31
2022-08-08 22:00:00,6.85,755.31
2022-08-08 22:30:00,6.85,755.31
2022-08-08 23:00:00,6.85,755.31
2022-08-08 23:30:00,6.85,755.31
2022-08-09 00:00:00,6.85,755.31
2022-08-09 00:30:00,6.85,755.31
2022-08-09 01:00:00,6.85,755.31
2022-08-09 01:30:00,6.84,752.39
2022-08-09 02:00:00,6.83,749.48
2022-08-09 02:30:00,6.83,749.48
2022-08-09 03:00:00,6.82,746.58
2022-08-09 03:30:00,6.82,746.58
2022-08-09 04:00:00,6.82,746.58
2022-08-09 04:30:00,6.81,743.68
2022-08-09 05:00:00,6.81,743.68
2022-08-09 05:30:00,6.8,740.79
2022-08-09 06:00:00,6.79,737.91
2022-08-09 06:30:00,6.79,737.91
2022-08-09 07:00:00,6.78,735.03
2022-08-09 07:30:00,6.77,732.16
2022-08-09 08:00:00,6.76,729.3
2022-08-09 08:30:00,6.76,729.3
2022-08-09 09:00:00,6.74,723.59
2022-08-09 09:30:00,6.73,720.75
2022-08-09 10:00:00,6.72,717.91
2022-08-09 10:30:00,6.72,717.91
2022-08-09 11:00:00,6.71,715.08
2022-08-09 11:30:00,6.7,712.26
2022-08-09 12:00:00,6.67,703.82
2022-08-09 12:30:00,6.66,701.02
2022-08-09 13:00:00,6.66,701.02
2022-08-09 13:30:00,6.64,695.45
2022-08-09 14:00:00,6.62,689.9
2022-08-09 14:30:00,6.6,684.37
2022-08-09 15:00:00,6.59,681.62
2022-08-09 15:30:00,6.57,676.14
2022-08-09 16:00:00,6.56,673.4
2022-08-09 16:30:00,6.55,670.68
2022-08-09 17:00:00,6.53,665.24
2022-08-09 17:30:00,6.52,662.54
2022-08-09 18:00:00,6.49,654.46
2022-08-09 18:30:00,6.48,651.78
2022-08-09 19:00:00,6.46,646.43
2022-08-09 19:30:00,6.44,641.12
2022-08-09 20:00:00,6.43,638.47
2022-08-09 20:30:00,6.39,627.94
2022-08-09 21:00:00,6.38,625.32
2022-08-09 21:30:00,6.36,620.1
2022-08-09 22:00:00,6.33,612.33
2022-08-09 22:30:00,6.31,607.18
2022-08-09 23:00:00,6.28,599.5
2022-08-09 23:30:00,6.27,596.96
2022-08-10 00:00:00,6.24,589.35
2022-08-10 00:30:00,6.21,581.81
2022-08-10 01:00:00,6.19,576.81
2022-08-10 01:30:00,6.16,569.36
2022-08-10 02:00:00,6.13,561.97
2022-08-10 02:30:00,6.1,554.63
2022-08-10 03:00:00,6.08,549.77
2022-08-10 03:30:00,6.05,542.53
2022-08-10 04:00:00,6.02,535.34
2022-08-10 04:30:00,5.99,528.21
2022-08-10 05:00:00,5.97,523.49
2022-08-10 05:30:00,5.92,511.79
2022-08-10 06:00:00,5.9,507.16
2022-08-10 06:30:00,5.87,500.25
2022-08-10 07:00:00,5.84,493.4
2022-08-10 07:30:00,5.81,486.6
2022-08-10 08:00:00,5.77,477.63
2022-08-10 08:30:00,5.74,470.96
2022-08-10 09:00:00,5.71,464.34
2022-08-10 09:30:00,5.68,457.79
2022-08-10 10:00:00,5.65,451.28
2022-08-10 10:30:00,5.61,442.7
2022-08-10 11:00:00,5.57,434.21
2022-08-10 11:30:00,5.54,427.9
2022-08-10 12:00:00,5.5,419.58
2022-08-10 12:30:00,5.47,413.4
2022-08-10 13:00:00,5.44,407.27
2022-08-10 13:30:00,5.4,399.19
2022-08-10 14:00:00,5.37,393.19
2022-08-10 14:30:00,5.33,385.27
2022-08-10 15:00:00,5.3,379.4
2022-08-10 15:30:00,5.26,371.64
2022-08-10 16:00:00,5.22,363.98
2022-08-10 16:30:00,5.19,358.3
2022-08-10 17:00:00,5.15,350.8
2022-08-10 17:30:00,5.11,343.4
2022-08-10 18:00:00,5.07,336.09
2022-08-10 18:30:00,5.04,330.66
2022-08-10 19:00:00,5.0,323.51
2022-08-10 19:30:00,4.96,316.45
2022-08-10 20:00:00,4.92,309.49
2022-08-10 20:30:00,4.89,304.32
