Location Names,Fray Marcos,Fray Marcos
Location Ids,44.0,44.0
Time,H.obs,Q.obs
2022-08-08 00:00:00,0.79,15.24
2022-08-08 00:30:00,0.79,15.24
2022-08-08 01:00:00,0.79,15.24
2022-08-08 01:30:00,0.78,14.96
2022-08-08 02:00:00,0.78,14.96
2022-08-08 02:30:00,0.78,14.96
2022-08-08 03:00:00,0.78,14.96
2022-08-08 03:30:00,0.78,14.96
2022-08-08 04:00:00,0.78,14.96
2022-08-08 04:30:00,0.78,14.96
2022-08-08 05:00:00,0.78,14.96
2022-08-08 05:30:00,0.78,14.96
2022-08-08 06:00:00,0.77,14.69
2022-08-08 06:30:00,0.77,14.69
2022-08-08 07:00:00,0.77,14.69
2022-08-08 07:30:00,0.77,14.69
2022-08-08 08:00:00,0.77,14.69
2022-08-08 08:30:00,0.77,14.69
2022-08-08 09:00:00,0.77,14.69
2022-08-08 09:30:00,0.77,14.69
2022-08-08 10:00:00,0.76,14.42
2022-08-08 10:30:00,0.76,14.42
2022-08-08 11:00:00,0.76,14.42
2022-08-08 11:30:00,0.76,14.42
2022-08-08 12:00:00,0.76,14.42
2022-08-08 12:30:00,0.76,14.42
2022-08-08 13:00:00,0.76,14.42
2022-08-08 13:30:00,0.76,14.42
2022-08-08 14:00:00,0.75,14.15
2022-08-08 14:30:00,0.75,14.15
2022-08-08 15:00:00,0.75,14.15
2022-08-08 15:30:00,0.75,14.15
2022-08-08 16:00:00,0.75,14.15
2022-08-08 16:30:00,0.75,14.15
2022-08-08 17:00:00,0.75,14.15
2022-08-08 17:30:00,0.75,14.15
2022-08-08 18:00:00,0.75,14.15
2022-08-08 18:30:00,0.74,13.88
2022-08-08 19:00:00,0.74,13.88
2022-08-08 19:30:00,0.74,13.88
2022-08-08 20:00:00,0.74,13.88
2022-08-08 20:30:00,0.74,13.88
2022-08-08 21:00:00,0.74,13.88
2022-08-08 21:30:00,0.74,13.88
2022-08-08 22:00:00,0.74,13.88
2022-08-08 22:30:00,0.74,13.88
2022-08-08 23:00:00,0.74,13.88
2022-08-08 23:30:00,0.73,13.61
2022-08-09 00:00:00,0.73,13.61
2022-08-09 00:30:00,0.73,13.61
2022-08-09 01:00:00,0.73,13.61
2022-08-09 01:30:00,0.73,13.61
2022-08-09 02:00:00,0.73,13.61
2022-08-09 02:30:00,0.73,13.61
2022-08-09 03:00:00,0.73,13.61
2022-08-09 03:30:00,0.73,13.61
2022-08-09 04:00:00,0.73,13.61
2022-08-09 04:30:00,0.72,13.35
2022-08-09 05:00:00,0.72,13.35
2022-08-09 05:30:00,0.72,13.35
2022-08-09 06:00:00,0.72,13.35
2022-08-09 06:30:00,0.72,13.35
2022-08-09 07:00:00,0.72,13.35
2022-08-09 07:30:00,0.72,13.35
2022-08-09 08:00:00,0.72,13.35
2022-08-09 08:30:00,0.71,13.09
2022-08-09 09:00:00,0.71,13.09
2022-08-09 09:30:00,0.71,13.09
2022-08-09 10:00:00,0.71,13.09
2022-08-09 10:30:00,0.71,13.09
2022-08-09 11:00:00,0.71,13.09
2022-08-09 11:30:00,0.71,13.09
2022-08-09 12:00:00,0.71,13.09
2022-08-09 12:30:00,0.71,13.09
2022-08-09 13:00:00,0.7,12.83
2022-08-09 13:30:00,0.7,12.83
2022-08-09 14:00:00,0.7,12.83
2022-08-09 14:30:00,0.7,12.83
2022-08-09 15:00:00,0.7,12.83
2022-08-09 15:30:00,0.7,12.83
2022-08-09 16:00:00,0.7,12.83
2022-08-09 16:30:00,0.7,12.83
2022-08-09 17:00:00,0.7,12.83
2022-08-09 17:30:00,0.7,12.83
2022-08-09 18:00:00,0.7,12.83
2022-08-09 18:30:00,0.69,12.57
2022-08-09 19:00:00,0.69,12.57
2022-08-09 19:30:00,0.69,12.57
2022-08-09 20:00:00,0.69,12.57
2022-08-09 20:30:00,0.69,12.57
2022-08-09 21:00:00,0.69,12.57
2022-08-09 21:30:00,0.69,12.57
2022-08-09 22:00:00,0.69,12.57
2022-08-09 22:30:00,0.69,12.57
2022-08-09 23:00:00,0.69,12.57
2022-08-09 23:30:00,0.68,12.32
2022-08-10 00:00:00,0.68,12.32
2022-08-10 00:30:00,0.68,12.32
2022-08-10 01:00:00,0.68,12.32
2022-08-10 01:30:00,0.68,12.32
2022-08-10 02:00:00,0.68,12.32
2022-08-10 02:30:00,0.68,12.32
2022-08-10 03:00:00,0.68,12.32
2022-08-10 03:30:00,0.68,12.32
2022-08-10 04:00:00,0.68,12.32
2022-08-10 04:30:00,0.68,12.32
2022-08-10 05:00:00,0.68,12.32
2022-08-10 05:30:00,0.67,12.07
2022-08-10 06:00:00,0.67,12.07
2022-08-10 06:30:00,0.67,12.07
2022-08-10 07:00:00,0.67,12.07
2022-08-10 07:30:00,0.67,12.07
2022-08-10 08:00:00,0.67,12.07
2022-08-10 08:30:00,0.67,12.07
2022-08-10 09:00:00,0.67,12.07
2022-08-10 09:30:00,0.67,12.07
2022-08-10 10:00:00,0.67,12.07
2022-08-10 10:30:00,0.67,12.07
2022-08-10 11:00:00,0.67,12.07
2022-08-10 11:30:00,0.67,12.07
2022-08-10 12:00:00,0.67,12.07
2022-08-10 12:30:00,0.66,11.82
2022-08-10 13:00:00,0.66,11.82
2022-08-10 13:30:00,0.66,11.82
2022-08-10 14:00:00,0.66,11.82
2022-08-10 14:30:00,0.66,11.82
2022-08-10 15:00:00,0.66,11.82
2022-08-10 15:30:00,0.66,11.82
2022-08-10 16:00:00,0.66,11.82
2022-08-10 16:30:00,0.66,11.82
2022-08-10 17:00:00,0.66,11.82
2022-08-10 17:30:00,0.66,11.82
2022-08-10 18:00:00,0.66,11.82
2022-08-10 18:30:00,0.66,11.82
2022-08-10 19:00:00,0.65,11.57
2022-08-10 19:30:00,0.65,11.57
2022-08-10 20:00:00,0.65,11.57
2022-08-10 20:30:00,0.65,11.57
2022-08-10 21:00:00,0.65,11.57
2022-08-10 21:30:00,0.65,11.57
2022-08-10 22:00:00,0.65,11.57
2022-08-10 22:30:00,0.65,11.57
2022-08-10 23:00:00,0.65,11.57
2022-08-10 23:30:00,0.65,11.57
2022-08-11 00:00:00,0.65,11.57
2022-08-11 00:30:00,0.65,11.57
2022-08-11 01:00:00,0.64,11.33
2022-08-11 01:30:00,0.65,11.57
2022-08-11 02:00:00,0.64,11.33
2022-08-11 02:30:00,0.64,11.33
