Location Names,Paso Aguiar,Paso Aguiar
Location Ids,65.1,65.1
Time,H.obs,Q.obs
2022-08-08 00:00:00,7.71,530.12
2022-08-08 00:30:00,7.69,522.37
2022-08-08 01:00:00,7.71,530.12
2022-08-08 01:30:00,7.71,530.12
2022-08-08 02:00:00,7.7,526.23
2022-08-08 02:30:00,7.69,522.37
2022-08-08 03:00:00,7.69,522.37
2022-08-08 03:30:00,7.7,526.23
2022-08-08 04:00:00,7.7,526.23
2022-08-08 04:30:00,7.69,522.37
2022-08-08 05:00:00,7.69,522.37
2022-08-08 05:30:00,7.69,522.37
2022-08-08 06:00:00,7.69,522.37
2022-08-08 06:30:00,7.68,518.53
2022-08-08 07:00:00,7.68,518.53
2022-08-08 07:30:00,7.68,518.53
2022-08-08 08:00:00,7.67,514.71
2022-08-08 08:30:00,7.67,514.71
2022-08-08 09:00:00,7.67,514.71
2022-08-08 09:30:00,7.67,514.71
2022-08-08 10:00:00,7.67,514.71
2022-08-08 10:30:00,7.67,514.71
2022-08-08 11:00:00,7.67,514.71
2022-08-08 11:30:00,7.66,510.92
2022-08-08 12:00:00,7.66,510.92
2022-08-08 12:30:00,7.66,510.92
2022-08-08 13:00:00,7.66,510.92
2022-08-08 13:30:00,7.66,510.92
2022-08-08 14:00:00,7.66,510.92
2022-08-08 14:30:00,7.66,510.92
2022-08-08 15:00:00,7.65,507.15
2022-08-08 15:30:00,7.66,510.92
2022-08-08 16:00:00,7.65,507.15
2022-08-08 16:30:00,7.65,507.15
2022-08-08 17:00:00,7.65,507.15
2022-08-08 17:30:00,7.65,507.15
2022-08-08 18:00:00,7.66,510.92
2022-08-08 18:30:00,7.65,507.15
2022-08-08 19:00:00,7.65,507.15
2022-08-08 19:30:00,7.65,507.15
2022-08-08 20:00:00,7.65,507.15
2022-08-08 20:30:00,7.64,503.4
2022-08-08 21:00:00,7.64,503.4
2022-08-08 21:30:00,7.64,503.4
2022-08-08 22:00:00,7.65,507.15
2022-08-08 22:30:00,7.65,507.15
2022-08-08 23:00:00,7.65,507.15
2022-08-08 23:30:00,7.66,510.92
2022-08-09 00:00:00,7.65,507.15
2022-08-09 00:30:00,7.66,510.92
2022-08-09 01:00:00,7.65,507.15
2022-08-09 01:30:00,7.65,507.15
2022-08-09 02:00:00,7.66,510.92
2022-08-09 02:30:00,7.66,510.92
2022-08-09 03:00:00,7.66,510.92
2022-08-09 03:30:00,7.64,503.4
2022-08-09 04:00:00,7.65,507.15
2022-08-09 04:30:00,7.66,510.92
2022-08-09 05:00:00,7.64,503.4
2022-08-09 05:30:00,7.66,510.92
2022-08-09 06:00:00,7.64,503.4
2022-08-09 06:30:00,7.68,518.53
2022-08-09 07:00:00,7.67,514.71
2022-08-09 07:30:00,7.66,510.92
2022-08-09 08:00:00,7.68,518.53
2022-08-09 08:30:00,7.67,514.71
2022-08-09 09:00:00,7.69,522.37
2022-08-09 09:30:00,7.68,518.53
2022-08-09 10:00:00,7.69,522.37
2022-08-09 10:30:00,7.7,526.23
2022-08-09 11:00:00,7.7,526.23
2022-08-09 11:30:00,7.7,526.23
2022-08-09 12:00:00,7.7,526.23
2022-08-09 12:30:00,7.71,530.12
2022-08-09 13:00:00,7.72,534.02
2022-08-09 13:30:00,7.72,534.02
2022-08-09 14:00:00,7.73,537.96
2022-08-09 14:30:00,7.74,541.91
2022-08-09 15:00:00,7.74,541.91
2022-08-09 15:30:00,7.75,545.89
2022-08-09 16:00:00,7.76,549.89
2022-08-09 16:30:00,7.75,545.89
2022-08-09 17:00:00,7.77,553.92
2022-08-09 17:30:00,7.78,557.97
2022-08-09 18:00:00,7.77,553.92
2022-08-09 18:30:00,7.79,562.04
2022-08-09 19:00:00,7.8,566.14
2022-08-09 19:30:00,7.8,566.14
2022-08-09 20:00:00,7.81,570.26
2022-08-09 20:30:00,7.82,574.41
2022-08-09 21:00:00,7.81,570.26
2022-08-09 21:30:00,7.85,586.99
2022-08-09 22:00:00,7.86,591.24
2022-08-09 22:30:00,7.85,586.99
2022-08-09 23:00:00,7.86,591.24
2022-08-09 23:30:00,7.87,595.51
2022-08-10 00:00:00,7.87,595.51
2022-08-10 00:30:00,7.89,604.12
2022-08-10 01:00:00,7.89,604.12
2022-08-10 01:30:00,7.91,612.83
2022-08-10 02:00:00,7.88,599.8
2022-08-10 02:30:00,7.93,621.65
2022-08-10 03:00:00,7.93,621.65
2022-08-10 03:30:00,7.92,617.23
2022-08-10 04:00:00,7.95,630.57
2022-08-10 04:30:00,7.95,630.57
2022-08-10 05:00:00,7.96,635.07
2022-08-10 05:30:00,7.97,639.59
2022-08-10 06:00:00,7.96,635.07
2022-08-10 06:30:00,7.95,630.57
2022-08-10 07:00:00,7.97,639.59
2022-08-10 07:30:00,7.99,648.72
2022-08-10 08:00:00,8.0,653.32
2022-08-10 08:30:00,8.0,653.32
2022-08-10 09:00:00,8.02,662.6
2022-08-10 09:30:00,8.03,667.28
2022-08-10 10:00:00,8.01,657.95
2022-08-10 10:30:00,8.03,667.28
2022-08-10 11:00:00,8.05,676.73
2022-08-10 11:30:00,8.04,671.99
2022-08-10 12:00:00,8.05,676.73
