Location Names,Paso del Borracho,Paso del Borracho
Location Ids,52.0,52.0
Time,H.obs,Q.obs
2022-08-08 00:00:00,5.49,554.54
2022-08-08 00:30:00,5.45,539.81
2022-08-08 01:00:00,5.48,550.83
2022-08-08 01:30:00,5.45,539.81
2022-08-08 02:00:00,5.46,543.47
2022-08-08 02:30:00,5.47,547.14
2022-08-08 03:00:00,5.43,532.56
2022-08-08 03:30:00,5.43,532.56
2022-08-08 04:00:00,5.46,543.47
2022-08-08 04:30:00,5.4,521.82
2022-08-08 05:00:00,5.43,532.56
2022-08-08 05:30:00,5.47,547.14
2022-08-08 06:00:00,5.43,532.56
2022-08-08 06:30:00,5.43,532.56
2022-08-08 07:00:00,5.41,525.38
2022-08-08 07:30:00,5.4,521.82
2022-08-08 08:00:00,5.39,518.27
2022-08-08 08:30:00,5.37,511.23
2022-08-08 09:00:00,5.39,518.27
2022-08-08 09:30:00,5.4,521.82
2022-08-08 10:00:00,5.38,514.74
2022-08-08 10:30:00,5.35,504.26
2022-08-08 11:00:00,5.4,521.82
2022-08-08 11:30:00,5.34,500.81
2022-08-08 12:00:00,5.4,521.82
2022-08-08 12:30:00,5.36,507.74
2022-08-08 13:00:00,5.35,504.26
2022-08-08 13:30:00,5.37,511.23
2022-08-08 14:00:00,5.35,504.26
2022-08-08 14:30:00,5.36,507.74
2022-08-08 15:00:00,5.34,500.81
2022-08-08 15:30:00,5.34,500.81
2022-08-08 16:00:00,5.31,490.54
2022-08-08 16:30:00,5.32,493.94
2022-08-08 17:00:00,5.31,490.54
2022-08-08 17:30:00,5.32,493.94
2022-08-08 18:00:00,5.31,490.54
2022-08-08 18:30:00,5.31,490.54
2022-08-08 19:00:00,5.3,487.15
2022-08-08 19:30:00,5.27,477.09
2022-08-08 20:00:00,5.27,477.09
2022-08-08 20:30:00,5.28,480.42
2022-08-08 21:00:00,5.26,473.77
2022-08-08 21:30:00,5.25,470.47
2022-08-08 22:00:00,5.24,467.18
2022-08-08 22:30:00,5.27,477.09
2022-08-08 23:00:00,5.24,467.18
2022-08-08 23:30:00,5.24,467.18
2022-08-09 00:00:00,5.22,460.66
2022-08-09 00:30:00,5.22,460.66
2022-08-09 01:00:00,5.22,460.66
2022-08-09 01:30:00,5.22,460.66
2022-08-09 02:00:00,5.16,441.5
2022-08-09 02:30:00,5.21,457.42
2022-08-09 03:00:00,5.21,457.42
2022-08-09 03:30:00,5.2,454.21
2022-08-09 04:00:00,5.19,451.0
2022-08-09 04:30:00,5.19,451.0
2022-08-09 05:00:00,5.16,441.5
2022-08-09 05:30:00,5.17,444.65
2022-08-09 06:00:00,5.15,438.36
2022-08-09 06:30:00,5.14,435.25
2022-08-09 07:00:00,5.15,438.36
2022-08-09 07:30:00,5.13,432.14
2022-08-09 08:00:00,5.11,425.99
2022-08-09 08:30:00,5.14,435.25
2022-08-09 09:00:00,5.12,429.06
2022-08-09 09:30:00,5.11,425.99
2022-08-09 10:00:00,5.11,425.99
2022-08-09 10:30:00,5.12,429.06
2022-08-09 11:00:00,5.1,422.93
2022-08-09 11:30:00,5.1,422.93
2022-08-09 12:00:00,5.09,419.89
2022-08-09 12:30:00,5.09,419.89
2022-08-09 13:00:00,5.09,419.89
2022-08-09 13:30:00,5.09,419.89
2022-08-09 14:00:00,5.07,413.87
2022-08-09 14:30:00,5.06,410.88
2022-08-09 15:00:00,5.05,407.9
2022-08-09 15:30:00,5.05,407.9
2022-08-09 16:00:00,5.04,404.95
2022-08-09 16:30:00,5.03,402.0
2022-08-09 17:00:00,5.02,399.08
2022-08-09 17:30:00,5.02,399.08
2022-08-09 18:00:00,5.04,404.95
2022-08-09 18:30:00,5.02,399.08
2022-08-09 19:00:00,5.02,399.08
2022-08-09 19:30:00,5.01,396.17
2022-08-09 20:00:00,5.01,396.17
2022-08-09 20:30:00,5.0,393.27
2022-08-09 21:00:00,5.0,393.27
2022-08-09 21:30:00,5.0,393.27
2022-08-09 22:00:00,4.98,387.53
2022-08-09 22:30:00,4.97,384.68
2022-08-09 23:00:00,4.97,384.68
2022-08-09 23:30:00,4.95,379.03
2022-08-10 00:00:00,4.97,384.68
2022-08-10 00:30:00,4.94,376.23
2022-08-10 01:00:00,4.96,381.85
2022-08-10 01:30:00,4.95,379.03
2022-08-10 02:00:00,4.94,376.23
2022-08-10 02:30:00,4.96,381.85
2022-08-10 03:00:00,4.92,370.67
2022-08-10 03:30:00,4.93,373.44
2022-08-10 04:00:00,4.92,370.67
2022-08-10 04:30:00,4.92,370.67
2022-08-10 05:00:00,4.91,367.91
2022-08-10 05:30:00,4.92,370.67
2022-08-10 06:00:00,4.88,359.73
2022-08-10 06:30:00,4.89,362.44
2022-08-10 07:00:00,4.9,365.17
2022-08-10 07:30:00,4.87,357.04
2022-08-10 08:00:00,4.88,359.73
2022-08-10 08:30:00,4.87,357.04
2022-08-10 09:00:00,4.89,362.44
2022-08-10 09:30:00,4.87,357.04
2022-08-10 10:00:00,4.86,354.35
2022-08-10 10:30:00,4.87,357.04
2022-08-10 11:00:00,4.86,354.35
2022-08-10 11:30:00,4.85,351.69
2022-08-10 12:00:00,4.84,349.04
2022-08-10 12:30:00,4.84,349.04
2022-08-10 13:00:00,4.84,349.04
2022-08-10 13:30:00,4.83,346.89
2022-08-10 14:00:00,4.83,346.89
2022-08-10 14:30:00,4.83,346.89
2022-08-10 15:00:00,4.8,343.92
2022-08-10 15:30:00,4.83,346.89
2022-08-10 16:00:00,4.8,343.92
2022-08-10 16:30:00,4.8,343.92
2022-08-10 17:00:00,4.8,343.92
2022-08-10 17:30:00,4.8,343.92
2022-08-10 18:00:00,4.79,342.93
2022-08-10 18:30:00,4.78,341.95
2022-08-10 19:00:00,4.79,342.93
2022-08-10 19:30:00,4.76,339.98
2022-08-10 20:00:00,4.76,339.98
2022-08-10 20:30:00,4.77,340.96
2022-08-10 21:00:00,4.76,339.98
2022-08-10 21:30:00,4.76,339.98
2022-08-10 22:00:00,4.76,339.98
2022-08-10 22:30:00,4.74,338.01
2022-08-10 23:00:00,4.73,337.03
2022-08-10 23:30:00,4.73,337.03
2022-08-11 00:00:00,4.73,337.03
2022-08-11 00:30:00,4.73,337.03
2022-08-11 01:00:00,4.71,335.06
2022-08-11 01:30:00,4.72,336.04
2022-08-11 02:00:00,4.71,335.06
2022-08-11 02:30:00,4.71,335.06
2022-08-11 03:00:00,4.71,335.06
2022-08-11 03:30:00,4.71,335.06
2022-08-11 04:00:00,4.71,335.06
2022-08-11 04:30:00,4.71,335.06
2022-08-11 05:00:00,4.7,334.09
2022-08-11 05:30:00,4.69,333.11
2022-08-11 06:00:00,4.68,332.13
2022-08-11 06:30:00,4.68,332.13
2022-08-11 07:00:00,4.68,332.13
2022-08-11 07:30:00,4.68,332.13
2022-08-11 08:00:00,4.68,332.13
2022-08-11 08:30:00,4.65,329.2
2022-08-11 09:00:00,4.65,329.2
2022-08-11 09:30:00,4.67,331.15
2022-08-11 10:00:00,4.66,330.18
2022-08-11 10:30:00,4.66,330.18
2022-08-11 11:00:00,4.65,329.2
2022-08-11 11:30:00,4.63,327.25
2022-08-11 12:00:00,4.64,328.23
2022-08-11 12:30:00,4.63,327.25
2022-08-11 13:00:00,4.65,329.2
2022-08-11 13:30:00,4.6,324.34
