Location Names,Paso de los Troncos
Location Ids,119.0
Time,Q.obs
2021-08-24 07:00:00,3.099
2021-08-24 13:00:00,2.687
2021-08-24 19:00:00,2.687
2021-08-25 07:00:00,2.687
2021-08-25 13:00:00,2.307
2021-08-25 19:00:00,2.307
2021-08-26 07:00:00,2.307
2021-08-26 13:00:00,2.307
2021-08-26 19:00:00,2.307
2021-08-27 07:00:00,2.307
2021-08-27 13:00:00,1.959
2021-08-27 19:00:00,1.959
2021-08-28 07:00:00,1.959
2021-08-28 13:00:00,1.959
2021-08-28 19:00:00,1.959
2021-08-29 07:00:00,1.959
2021-08-29 13:00:00,1.959
2021-08-29 19:00:00,1.959
2021-08-30 07:00:00,1.642
2021-08-30 13:00:00,1.642
2021-08-30 19:00:00,1.642
2021-08-31 07:00:00,1.642
2021-08-31 13:00:00,1.355
2021-08-31 19:00:00,1.355
2021-09-01 07:00:00,1.355
2021-09-01 13:00:00,1.355
2021-09-01 19:00:00,1.355
2021-09-02 07:00:00,15.909
2021-09-02 19:00:00,26.273
2021-09-03 07:00:00,72.621
2021-09-03 19:00:00,50.396
2021-09-04 07:00:00,32.494
2021-09-04 13:00:00,25.242
2021-09-04 19:00:00,19.919
2021-09-05 07:00:00,15.154
2021-09-05 13:00:00,13.693
2021-09-05 19:00:00,12.297
2021-09-06 07:00:00,12.297
2021-09-06 13:00:00,10.967
2021-09-06 19:00:00,9.704
2021-09-07 07:00:00,9.704
2021-09-07 13:00:00,9.098
2021-09-07 19:00:00,8.509
2021-09-08 07:00:00,7.937
2021-09-08 13:00:00,7.383
2021-09-08 19:00:00,6.846
2021-09-09 07:00:00,48.741
2021-09-09 13:00:00,87.638
2021-09-09 19:00:00,85.399
2021-09-10 07:00:00,60.959
2021-09-10 19:00:00,40.914
2021-09-11 07:00:00,23.407
2021-09-11 19:00:00,17.466
2021-09-12 07:00:00,16.679
2021-09-12 13:00:00,15.909
2021-09-12 19:00:00,15.154
2021-09-13 07:00:00,13.693
2021-09-13 13:00:00,12.297
2021-09-14 07:00:00,16.679
2021-09-14 13:00:00,21.632
2021-09-14 19:00:00,27.460
2021-09-15 07:00:00,12.297
2021-09-15 13:00:00,10.967
2021-09-15 19:00:00,9.704
2021-09-16 07:00:00,7.937
2021-09-16 13:00:00,19.919
2021-09-16 19:00:00,6.846
2021-09-17 07:00:00,6.259
2021-09-17 13:00:00,5.648
2021-09-17 19:00:00,5.648
2021-09-18 07:00:00,5.648
2021-09-18 19:00:00,5.071
2021-09-19 07:00:00,5.071
2021-09-19 19:00:00,4.528
2021-09-20 07:00:00,4.528
2021-09-20 13:00:00,4.019
2021-09-20 19:00:00,4.019
2021-09-21 07:00:00,6.259
2021-09-21 13:00:00,9.704
2021-09-21 19:00:00,12.987
2021-09-22 07:00:00,6.846
2021-09-22 13:00:00,6.846
2021-09-22 19:00:00,5.071
2021-09-23 07:00:00,4.019
2021-09-23 13:00:00,3.542
2021-09-23 19:00:00,3.542
2021-09-24 07:00:00,3.542
2021-09-24 13:00:00,3.542
2021-09-24 19:00:00,3.542
2021-09-25 07:00:00,3.099
2021-09-25 13:00:00,3.099
2021-09-25 19:00:00,3.099
2021-09-26 07:00:00,3.099
2021-09-26 19:00:00,2.687
2021-09-27 07:00:00,2.687
2021-09-27 19:00:00,2.307
2021-09-28 07:00:00,2.307
2021-09-28 19:00:00,1.959
2021-09-29 07:00:00,1.959
2021-09-29 19:00:00,1.959
2021-09-30 07:00:00,1.959
2021-09-30 13:00:00,1.642
2021-09-30 19:00:00,1.642
2021-10-01 07:00:00,4.019
2021-10-01 13:00:00,6.259
2021-10-01 19:00:00,8.509
2021-10-02 07:00:00,8.509
2021-10-02 13:00:00,6.259
2021-10-02 19:00:00,5.071
2021-10-03 07:00:00,3.542
2021-10-03 13:00:00,1.959
2021-10-03 19:00:00,2.687
2021-10-04 07:00:00,2.307
2021-10-04 13:00:00,1.959
2021-10-04 19:00:00,1.959
2021-10-05 07:00:00,1.642
2021-10-05 13:00:00,1.355
2021-10-05 19:00:00,1.355
2021-10-06 07:00:00,1.355
2021-10-06 13:00:00,1.098
2021-10-06 19:00:00,1.098
2021-10-07 07:00:00,1.098
2021-10-07 13:00:00,0.870
2021-10-07 19:00:00,1.355
2021-10-08 07:00:00,1.355
2021-10-08 13:00:00,0.870
2021-10-08 19:00:00,1.098
2021-10-09 07:00:00,1.098
2021-10-09 13:00:00,1.355
2021-10-09 19:00:00,1.098
2021-10-10 07:00:00,1.098
2021-10-10 13:00:00,0.870
2021-10-10 19:00:00,0.870
2021-10-11 07:00:00,0.870
2021-10-11 13:00:00,1.098
2021-10-11 19:00:00,1.355
2021-10-12 07:00:00,3.099
2021-10-12 13:00:00,6.259
2021-10-12 19:00:00,9.704
2021-10-13 07:00:00,9.704
2021-10-13 13:00:00,8.509
2021-10-13 19:00:00,7.383
2021-10-14 07:00:00,3.542
2021-10-14 13:00:00,3.099
2021-10-14 19:00:00,2.687
2021-10-15 07:00:00,2.307
2021-10-15 13:00:00,1.959
2021-10-15 19:00:00,1.642
2021-10-16 07:00:00,1.642
2021-10-16 13:00:00,1.355
2021-10-16 19:00:00,1.355
2021-10-17 07:00:00,1.355
2021-10-17 13:00:00,1.098
2021-10-17 19:00:00,1.098
2021-10-18 07:00:00,1.098
2021-10-18 13:00:00,0.870
2021-10-18 19:00:00,0.870
2021-10-19 07:00:00,0.870
2021-10-19 13:00:00,0.870
2021-10-19 19:00:00,0.870
2021-10-20 07:00:00,0.870
2021-10-20 13:00:00,0.870
2021-10-20 19:00:00,0.870
2021-10-21 07:00:00,0.870
2021-10-21 13:00:00,0.870
2021-10-21 19:00:00,0.870
2021-10-22 07:00:00,0.870
2021-10-22 13:00:00,0.870
2021-10-22 19:00:00,0.870
2021-10-23 07:00:00,0.614
2021-10-23 13:00:00,0.614
2021-10-23 19:00:00,0.614
