Lookout			
Dag	P[mm/d]	T[C]	Q[mm/d]
19630813	0	16.65	0.65080007
19630814	0	18.6	0.638139963
19630815	0	18.9	0.622775374
19630816	0	19.45	0.609840899
19630817	0	19.15	0.593300449
19630818	0	18.05	0.590399991
19630819	0	16.95	0.584246317
19630820	0	17.2	0.579817239
19630821	0	15.25	0.578915745
19630822	0	16.1	0.590674359
19630823	0	14.7	0.584207121
19630824	0	14.7	0.573154024
19630825	0	16.35	0.553752312
19630826	0	15.85	0.549793579
19630827	0	17.25	0.539132436
19630828	0	17.5	0.530509452
19630829	0	19.15	0.525962788
19630830	0	18.6	0.523101526
19630831	0	16.95	0.522317618
19630901	0	18.9	0.51941716
19630902	0	17.8	0.515889576
19630903	0	19.45	0.513185095
19630904	0	20	0.516203139
19630905	0	19.45	0.521376929
19630906	0	18.9	0.501034527
19630907	0	22.2	0.48269109
19630908	0	20.55	0.477203737
19630909	1.8	20.85	0.471285235
19630910	0	17.5	0.46920788
19630911	0	15.25	0.470344546
19630912	7.1	16.95	0.470344546
19630913	8.1	12.5	0.548735303
19630914	10.7	12.8	0.587930682
19630915	63.8	11.1	1.881378183
19630916	3.3	10	2.273331972
19630917	0.8	10.55	1.097470607
19630918	0	12.5	0.823102955
19630919	0	13.9	0.705516819
19630920	0	15.3	0.627126061
19630921	0	16.65	0.627126061
19630922	10.9	16.1	0.587930682
19630923	2.5	12.75	0.783907576
19630924	0	13.35	0.627126061
19630925	0	15	0.587930682
19630926	0	16.1	0.548735303
19630927	0	18.35	0.548735303
19630928	0	15.55	0.548735303
19630929	0	16.1	0.548735303
19630930	0	14.7	0.509539925
19631001	0	13.9	0.509539925
19631002	0	13.9	0.509539925
19631003	0	13.05	0.509539925
19631004	0	10.55	0.509539925
19631005	5.3	10	0.548735303
19631006	0	8.35	0.509539925
19631007	0	9.45	0.509539925
19631008	0	11.4	0.470344546
19631009	1	12.8	0.470344546
19631010	0	11.7	0.470344546
19631011	7.4	10.55	0.548735303
19631012	0	11.1	0.548735303
19631013	0	12.25	0.509539925
19631014	0	11.4	0.470344546
19631015	0	11.65	0.470344546
19631016	0	12.5	0.470344546
19631017	0	12.2	0.470344546
19631018	0.5	8.6	0.470344546
19631019	0	7.2	0.470344546
19631020	16.5	6.7	0.548735303
19631021	0	11.1	0.705516819
19631022	36.3	9.45	1.450229016
19631023	11.2	6.95	1.959768941
19631024	34.5	8.35	2.782871896
19631025	10.7	3.05	5.017008489
19631026	0	2.25	3.018044169
19631027	0	3.6	2.194941214
19631028	5.8	5	1.881378183
19631029	0	4.7	1.567815153
19631030	3.3	5.25	1.371838259
19631031	0	4.7	1.254252122
19631101	7.6	3.9	1.175861365
19631102	0	2.8	1.254252122
19631103	10.4	3.35	1.215056743
19631104	25.1	5.3	3.292411821
19631105	5.1	4.45	3.018044169
19631106	26.9	3.9	4.66425008
19631107	97.8	3.6	10.70033842
19631108	58.4	7.25	45.07468564
19631109	9.9	6.65	23.43883653
19631110	4.8	6.9	13.01286577
19631111	0	8.05	8.97574175
19631112	0	7.2	6.859191294
19631113	11.9	8.6	5.604939171
19631114	42.7	6.65	9.955626221
19631115	17	4.15	10.26918925
19631116	14.7	3.9	9.446086296
19631117	27.7	4.75	11.91539516
19631118	2.5	5	12.07217668
19631119	11.2	4.75	10.38677539
19631120	0	0.25	8.858155614
19631121	2	1.65	7.368731218
19631122	32.8	2.2	8.427006446
19631123	18.8	4.75	10.85711993
19631124	4.6	6.4	11.13148759
19631125	0	7.2	9.681258569
19631126	8.9	7.2	9.210914023
19631127	2.3	2.25	9.093327886
19631128	0	1.95	7.290340461
19631129	0	2.25	6.114479096
19631130	0	2.5	5.095399247
19631201	0	2.8	4.389882428
19631202	0	3.05	3.841147124
19631203	0	2.25	3.449193336
19631204	0	2.5	3.135630306
19631205	36.6	6.95	3.801951746
19631206	8.9	3.6	6.859191294
19631207	0	0.85	5.173790004
19631208	25.7	3.1	5.722525308
19631209	0	0.25	5.800916065
19631210	0	-3.35	4.899422353
19631211	0	-2.25	4.272296291
19631212	0	-0.55	3.841147124
19631213	0	0.3	3.449193336
19631214	0.5	2.5	3.135630306
19631215	0	1.7	2.939653412
19631216	0	3.9	2.743676517
19631217	0	3.35	2.586895002
19631218	1.5	2.8	2.508504245
19631219	14.5	5.25	2.586895002
19631220	27.7	1.95	3.684365609
19631221	14.5	0.85	4.037124019
19631222	0	1.95	3.99792864
19631223	0	2.5	3.919537882
19631224	6.9	2.25	3.841147124
19631225	5.6	2.8	4.31149167
19631226	33	1.1	5.448157656
19631227	22.6	3.9	7.760685007
19631228	20.6	7.2	16.07010532
19631229	0	4.45	11.79780903
19631230	0	6.1	8.740569477
19631231	0	6.95	7.055168188
19640101	37.3	5	6.780800536
19640102	2.3	2.2	7.64309887
19640103	4.6	1.4	6.428042127
19640104	2.3	1.1	5.64413455
19640105	28.4	0.55	5.017008489
19640106	58.2	0	6.036088338
19640107	2.5	0.55	5.604939171
19640108	1.5	-0.55	4.821031595
19640109	27.4	0.3	4.899422353
19640110	5.3	0.55	4.389882428
19640111	0	0.3	3.841147124
19640112	0	0.25	3.566779473
19640113	16.5	-0.55	3.762756367
19640114	0.8	1.1	3.99792864
19640115	7.6	1.1	3.919537882
19640116	43.4	1.65	8.270224931
19640117	55.4	0.55	10.38677539
19640118	37.1	0	8.231029552
19640119	58.9	0.3	7.486317355
19640120	15.5	0.55	9.681258569
19640121	5.6	-0.3	6.780800536
19640122	14.2	-0.55	5.369766898
19640123	7.4	-0.25	4.507468564
19640124	60.5	0.55	8.035052658
19640125	22.1	1.65	16.07010532
19640126	1.3	1.1	17.55952971
19640127	6.4	1.1	14.34550865
19640128	1.3	0.8	11.68022289
19640129	27.9	1.35	13.44401494
19640130	2	1.1	12.62091198
19640131	30.5	0.8	13.71838259
19640201	3	0.55	15.9133238
19640202	0	0.25	12.22895819
19640203	0	1.1	9.681258569
19640204	1.3	0.85	8.427006446
19640205	0	-1.1	8.035052658
19640206	0	-0.85	7.055168188
19640207	0	0	6.271260611
19640208	0	0.25	5.604939171
19640209	0	3.8	5.173790004
19640210	14.2	2.25	5.212985383
19640211	2.8	1.9	5.291376141
19640212	7.6	0.35	5.017008489
19640213	4.1	2.15	4.625054701
19640214	6.9	0.8	4.31149167
19640215	28.4	0.3	4.468273186
19640216	9.4	0.25	4.233100913
19640217	6.6	1.65	4.389882428
19640218	0	1.95	4.703445459
19640219	0	1.1	4.821031595
19640220	0	1.7	4.546663943
19640221	0	2.2	4.507468564
19640222	0	2.25	4.625054701
19640223	1.8	2.25	4.625054701
19640224	0	1.4	4.625054701
19640225	0	0.3	4.468273186
19640226	0	-0.3	4.076319397
19640227	0	0.55	3.841147124
19640228	0.8	0.25	3.64517023
19640229	17	1.35	3.527584094
19640301	19.6	1.1	3.99792864
19640302	9.7	0.55	3.841147124
19640303	16	0.3	3.684365609
19640304	37.8	2.25	7.133558945
19640305	21.1	0.8	9.210914023
19640306	4.3	0.25	6.780800536
19640307	0.5	0.85	5.604939171
19640308	15.2	1.1	4.938617731
19640309	13.5	0.55	4.821031595
19640310	14	0.55	4.625054701
19640311	36.3	0.85	5.722525308
19640312	18.8	0.25	6.036088338
19640313	4.6	0.55	4.742640837
19640314	33.3	1.4	6.545628263
19640315	3.3	1.7	9.798844705
19640316	0	2.5	8.152638795
19640317	1.3	2.25	7.290340461
19640318	0	2.2	6.780800536
19640319	0	2.25	6.036088338
19640320	12.7	1.4	5.722525308
19640321	3.6	2.25	5.604939171
19640322	0	1.7	5.291376141
19640323	7.6	1.95	4.821031595
19640324	0	0	4.31149167
19640325	1	2.2	3.99792864
19640326	3.6	2.75	3.723560988
19640327	0.5	4.4	3.723560988
19640328	0	5.3	4.037124019
19640329	0	6.4	5.291376141
19640330	0	8.05	7.564708112
19640331	5.3	5.8	9.798844705
19640401	15	3.3	10.85711993
19640402	6.6	3.05	9.446086296
19640403	0.5	5.85	7.917466522
19640404	3	4.45	7.055168188
19640405	5.3	2.25	6.428042127
19640406	0	6.1	5.722525308
19640407	0	6.65	5.64413455
19640408	0	7.25	6.036088338
19640409	18.5	5	7.211949703
19640410	3.3	7.2	8.427006446
19640411	11.2	4.45	8.858155614
19640412	1.3	5	8.30942031
19640413	0	7.5	7.564708112
19640414	0	8.35	7.564708112
19640415	6.9	4.7	8.97574175
19640416	1.5	3.05	9.093327886
19640417	0	5	7.64309887
19640418	0	6.95	6.702409778
19640419	0	8.35	6.114479096
19640420	0	6.4	5.800916065
19640421	0	9.15	5.526548414
19640422	22.1	3.6	6.036088338
19640423	1.5	3.9	5.64413455
19640424	0	6.1	5.173790004
19640425	2.3	6.65	4.899422353
19640426	8.1	6.95	5.604939171
19640427	0	8.05	6.349651369
19640428	0	10.55	6.467237505
19640429	3	6.1	7.64309887
19640430	0.8	4.2	7.211949703
19640501	16.5	3.35	6.545628263
19640502	0.3	3.6	5.879306823
19640503	0	4.45	5.212985383
19640504	2.3	3.9	4.742640837
19640505	10.4	3.05	4.507468564
19640506	0	4.15	4.076319397
19640507	1.3	6.1	3.880342503
19640508	0	8.85	3.841147124
19640509	0	10	4.037124019
19640510	3.3	8.35	4.899422353
19640511	0	12.5	5.879306823
19640512	3	10.55	7.133558945
19640513	1	7.8	8.622983341
19640514	0	8.35	7.64309887
19640515	0	13.3	7.368731218
19640516	1.8	11.1	8.427006446
19640517	0	13.9	9.093327886
19640518	0	13.35	9.563672432
19640519	1.8	15.25	10.38677539
19640520	6.1	10.85	11.24907372
19640521	1.5	8.9	10.38677539
19640522	0	6.4	8.544592583
19640523	0	12.25	7.055168188
19640524	0	10.85	6.624019021
19640525	0	11.35	6.271260611
19640526	0	14.15	6.192869854
19640527	0	13.9	6.702409778
19640528	0	12.5	7.133558945
19640529	0	15.55	7.133558945
19640530	0	16.95	7.839075764
19640531	6.4	16.95	9.328500159
19640601	0	15.3	10.62194766
19640602	0	14.2	8.740569477
19640603	1.8	13.9	7.64309887
19640604	7.9	13.35	8.152638795
19640605	14.7	13.35	8.858155614
19640606	17.8	11.95	9.681258569
19640607	5.1	9.7	11.52344137
19640608	0	10	9.328500159
19640609	0	13.05	7.564708112
19640610	5.3	11.35	6.780800536
19640611	1.5	15	6.036088338
19640612	0.3	14.7	5.722525308
19640613	0	15.55	5.604939171
19640614	0	15	5.448157656
19640615	2.8	10.55	5.173790004
19640616	4.6	10.85	4.899422353
19640617	6.6	9.2	5.291376141
19640618	3.6	8.9	5.448157656
19640619	1.3	12.8	4.938617731
19640620	0	13.35	4.389882428
19640621	0	15	4.037124019
19640622	0	19.45	3.762756367
19640623	0	19.45	3.762756367
19640624	0	19.15	3.684365609
19640625	0	19.7	3.449193336
19640626	0.5	10.85	3.174825684
19640627	0	11.7	2.900458033
19640628	0	14.7	2.66528576
19640629	0	16.95	2.547699623
19640630	0	17.8	2.508504245
19640701	0	18.65	2.390918108
19640702	0	14.75	2.273331972
19640703	0	15.55	2.155745835
19640704	0	13.9	2.038159699
19640705	0	18.35	1.959768941
19640706	0	19.45	1.802987426
19640707	0	21.1	1.724596668
19640708	0.8	12.8	1.685401289
19640709	0	16.95	1.64620591
19640710	0	18.05	1.528619774
19640711	0	22.5	1.450229016
19640712	0	23.1	1.411033638
19640713	0	21.95	1.371838259
19640714	5.1	13.3	1.33264288
19640715	3.3	11.95	1.489424395
19640716	0	16.35	1.33264288
19640717	0	16.35	1.254252122
19640718	0	16.4	1.175861365
19640719	0	18.05	1.175861365
19640720	0	17.25	1.136665986
19640721	0	18.05	1.097470607
19640722	0	16.95	1.058275228
19640723	0	19.45	1.058275228
19640724	0	21.65	1.019079849
19640725	0	23.6	0.979884471
19640726	0	23.6	0.940689092
19640727	0	23.9	0.940689092
19640728	0	20	0.901493713
19640729	0.8	21.15	0.901493713
19640730	1	13.65	0.901493713
19640731	6.1	15	0.940689092
19640801	10.7	11.65	1.215056743
19640802	0	12.8	1.097470607
19640803	0	12.8	0.979884471
19640804	1.3	12.5	0.901493713
19640805	0	16.7	0.862298334
19640806	0	18.9	0.862298334
19640807	0	18.05	0.823102955
19640808	0	20.8	0.783907576
19640809	0	20	0.783907576
19640810	0	21.65	0.744712198
19640811	0	20.8	0.744712198
19640812	0	17.2	0.744712198
19640813	0	18.35	0.705516819
19640814	0	19.45	0.705516819
19640815	0	17.8	0.705516819
19640816	0	19.45	0.66632144
19640817	0	19.7	0.66632144
19640818	0.8	13.3	0.66632144
19640819	0	12.5	0.66632144
19640820	0	17.8	0.627126061
19640821	0	20.3	0.627126061
19640822	0	22.2	0.587930682
19640823	0	22.75	0.587930682
19640824	0	21.7	0.587930682
19640825	1.8	20.55	0.548735303
19640826	1.8	12.5	0.587930682
19640827	1	16.1	0.587930682
19640828	2.8	14.1	0.587930682
19640829	0	13.85	0.587930682
19640830	0.8	13.55	0.587930682
19640831	0	10.5	0.587930682
19640901	0.8	12.2	0.587930682
19640902	0	13.85	0.587930682
19640903	0	13.6	0.548735303
19640904	0	14.7	0.548735303
19640905	0	15.8	0.509539925
19640906	0	13.9	0.509539925
19640907	0	12.8	0.509539925
19640908	0	12.25	0.509539925
19640909	0	11.4	0.509539925
19640910	0	13.65	0.509539925
19640911	0	15	0.509539925
19640912	0	15	0.470344546
19640913	0	15	0.470344546
19640914	0	14.15	0.470344546
19640915	0	13.35	0.470344546
19640916	7.9	15.55	0.470344546
19640917	18.3	9.75	0.979884471
19640918	0	11.15	0.627126061
19640919	5.8	13.35	0.548735303
19640920	3.8	9.45	0.627126061
19640921	0	10.6	0.548735303
19640922	0	12.75	0.509539925
19640923	0	15	0.509539925
19640924	0	14.75	0.509539925
19640925	0	12.5	0.470344546
19640926	0	12.75	0.470344546
19640927	0	12.25	0.470344546
19640928	0	12.5	0.431149167
19640929	0	12.25	0.431149167
19640930	15.7	11.35	0.509539925
19641001	0	9.45	0.66632144
19641002	0	10.55	0.509539925
19641003	0	11.4	0.470344546
19641004	0	12.75	0.470344546
19641005	0	13.9	0.431149167
19641006	0	14.7	0.431149167
19641007	2.8	12.8	0.431149167
19641008	3.8	13.05	0.548735303
19641009	3	12.5	0.509539925
19641010	0	11.4	0.509539925
19641011	0	12.5	0.470344546
19641012	0	13.6	0.470344546
19641013	0	14.75	0.431149167
19641014	2	12.25	0.470344546
19641015	4.6	10.5	0.509539925
19641016	3.8	6.35	0.548735303
19641017	0	6.65	0.548735303
19641018	0	8.3	0.509539925
19641019	0	10	0.470344546
19641020	0	10	0.470344546
19641021	0	10	0.431149167
19641022	0	10.25	0.431149167
19641023	0	9.2	0.431149167
19641024	0	7.75	0.431149167
19641025	2.5	7.8	0.431149167
19641026	0.3	6.65	0.431149167
19641027	5.3	8.35	0.431149167
19641028	0	10.8	0.470344546
19641029	10.2	10.55	0.509539925
19641030	0.5	8.9	0.587930682
19641031	0	8.05	0.509539925
19641101	17.5	7.5	0.548735303
19641102	10.2	5	1.293447501
19641103	2	6.65	0.901493713
19641104	9.9	8.35	0.823102955
19641105	0.5	5.25	0.823102955
19641106	0	5	0.66632144
19641107	0	5	0.627126061
19641108	5.6	7.25	0.627126061
19641109	6.9	6.1	0.705516819
19641110	19.3	3.3	1.019079849
19641111	47.5	1.4	1.489424395
19641112	30.7	0.55	1.802987426
19641113	8.1	0	1.293447501
19641114	0	-1.1	1.058275228
19641115	0	-1.9	0.901493713
19641116	0	-0.25	0.823102955
19641117	0	-0.8	0.783907576
19641118	0	-0.25	0.744712198
19641119	0	-0.55	0.744712198
19641120	0	-0.25	0.744712198
19641121	0	0	0.783907576
19641122	24.9	1.95	1.411033638
19641123	35.3	2.8	3.370802579
19641124	103.9	6.4	33.55124427
19641125	19.3	3.05	25.3594101
19641126	33.3	0.85	11.79780903
19641127	38.9	0.85	7.64309887
19641128	29	1.4	7.486317355
19641129	13.5	2.2	18.10826502
19641130	72.9	2.5	33.00250897
19641201	55.4	5	52.52180762
19641202	12.4	4.7	41.54710155
19641203	7.6	3.05	22.53734282
19641204	4.8	2.5	14.50229016
19641205	0.5	1.95	10.15160311
19641206	0	1.65	8.035052658
19641207	16	2.75	6.780800536
19641208	22.6	4.45	9.563672432
19641209	22.1	5	10.50436152
19641210	35.3	3.35	19.04895411
19641211	7.9	0.55	17.01079441
19641212	0	0	11.68022289
19641213	1	-0.55	8.740569477
19641214	52.8	2.5	14.38470403
19641215	16	1.1	17.91228812
19641216	0.5	-5.55	12.07217668
19641217	0	-6.4	8.858155614
19641218	8.1	-3.05	7.290340461
19641219	25.7	0.25	6.428042127
19641220	51.6	0.85	5.604939171
19641221	99.1	2.8	32.76733669
19641222	121.9	7.5	191.6654024
19641223	72.1	8.9	122.2895819
19641224	57.9	6.65	102.6918925
19641225	47	3.6	58.00916065
19641226	38.6	4.15	58.79306823
19641227	11.9	0.8	35.04066867
19641228	11.2	-0.8	20.06803396
19641229	34	0	15.67815153
19641230	18	-1.95	12.54252122
19641231	5.8	-1.35	10.19079849
19650101	0.8	-2.2	8.622983341
19650102	24.1	0	7.055168188
19650103	8.6	-0.25	6.271260611
19650104	9.4	-0.55	5.487353035
19650105	22.6	0.55	5.095399247
19650106	3	0.55	4.742640837
19650107	2.8	0.25	4.703445459
19650108	14	0.25	4.31149167
19650109	6.1	0.55	5.487353035
19650110	38.1	0.85	7.055168188
19650111	0	0.55	10.97470607
19650112	0	-0.25	8.622983341
19650113	0	0.55	6.271260611
19650114	0	1.1	7.447121976
19650115	0	1.65	10.97470607
19650116	0	1.4	12.62091198
19650117	0	1.4	12.42493509
19650118	0	2.5	12.62091198
19650119	1.8	1.95	13.1304519
19650120	9.7	2.75	12.7776935
19650121	13.5	1.7	12.93447501
19650122	7.1	1.65	10.58275228
19650123	49.8	1.65	20.18562009
19650124	30.7	1.1	24.73228404
19650125	27.7	0.55	14.30631327
19650126	29	0.55	10.42597077
19650127	109.5	2.5	39.58733261
19650128	72.6	4.75	96.81258569
19650129	28.2	4.2	61.14479096
19650130	9.1	6.35	44.68273186
19650131	0.5	1.9	29.67090177
19650201	0	0	17.71631123
19650202	0	1.1	12.7776935
19650203	0	4.45	9.798844705
19650204	0	5.25	8.427006446
19650205	8.6	4.15	7.32953584
19650206	1.5	1.65	6.075283717
19650207	0	1.65	5.291376141
19650208	25.7	2.25	5.291376141
19650209	2.3	0.3	5.173790004
19650210	0.8	0.8	4.860226974
19650211	0	1.35	4.546663943
19650212	2.8	3.65	4.350687049
19650213	15.5	3.65	4.546663943
19650214	8.4	1.7	5.056203868
19650215	0	3.05	4.742640837
19650216	0	5	4.350687049
19650217	0	5	4.233100913
19650218	0	5.85	4.625054701
19650219	0	5.55	5.056203868
19650220	0	6.4	5.056203868
19650221	15.2	5.85	5.173790004
19650222	15.7	3.35	5.487353035
19650223	0	2.2	5.173790004
19650224	0	4.15	4.860226974
19650225	0	4.7	4.468273186
19650226	14.7	5.55	4.546663943
19650227	25.9	3.35	6.702409778
19650228	4.3	2.5	6.075283717
19650301	0	2.5	5.408962277
19650302	0	4.45	4.860226974
19650303	0	5	4.546663943
19650304	0	5.55	4.233100913
19650305	0	6.95	3.605974852
19650306	0	6.65	3.3316072
19650307	0	6.1	3.174825684
19650308	0	6.4	2.97884879
19650309	0	6.95	2.822067275
19650310	0	7.5	2.743676517
19650311	0	8.05	2.586895002
19650312	0	8.3	2.469308866
19650313	0	5	2.234136593
19650314	0	5.55	2.038159699
19650315	0	6.4	1.920573562
19650316	1.8	2.25	1.842182805
19650317	0	2.5	1.64620591
19650318	0	2.5	1.528619774
19650319	0	4.45	1.450229016
19650320	0	6.4	1.293447501
19650321	0	8.9	1.293447501
19650322	0	6.95	1.371838259
19650323	0	5.55	1.293447501
19650324	0	3.85	1.215056743
19650325	20.8	0.85	1.215056743
19650326	50.3	3.1	2.077355078
19650327	0.8	3.9	2.155745835
19650328	0.5	5.55	1.842182805
19650329	0.3	7.8	1.64620591
19650330	0	9.75	1.489424395
19650331	0.5	10.55	1.64620591
19650401	17.8	6.65	2.469308866
19650402	0	5.25	2.31252735
19650403	0	6.35	2.038159699
19650404	0	7.5	1.920573562
19650405	1	5.55	1.842182805
19650406	0	5	1.724596668
19650407	0	6.1	1.607010532
19650408	8.4	7.2	1.489424395
19650409	1.3	6.95	1.528619774
19650410	0.8	6.1	1.371838259
19650411	0	8.3	1.450229016
19650412	0	9.45	1.489424395
19650413	0	7.2	1.489424395
19650414	0	10	1.567815153
19650415	7.1	10.8	2.31252735
19650416	4.3	6.95	2.743676517
19650417	0	8.6	2.469308866
19650418	54.6	8.35	4.546663943
19650419	36.1	13.35	22.0278029
19650420	11.4	11.7	15.48217463
19650421	10.4	10.25	12.07217668
19650422	1.3	10	9.406890917
19650423	3.3	13.3	7.603903491
19650424	6.9	11.95	6.937582051
19650425	0	13.9	6.192869854
19650426	0	16.15	5.840111444
19650427	0	15.85	5.604939171
19650428	0	14.15	5.408962277
19650429	0	15	4.546663943
19650430	3.3	7.75	3.880342503
19650501	8.9	6.4	3.3316072
19650502	0	7.75	2.822067275
19650503	1	9.45	2.469308866
19650504	17.3	5	2.390918108
19650505	16.8	3.35	2.31252735
19650506	0.5	4.75	2.155745835
19650507	0	11.95	2.155745835
19650508	0	10.3	2.234136593
19650509	0	13.3	2.31252735
19650510	0	15.55	2.469308866
19650511	0	17.25	2.586895002
19650512	0	16.15	2.66528576
19650513	0	13.05	2.743676517
19650514	0	13.35	2.547699623
19650515	0	15.25	2.547699623
19650516	11.9	8.9	2.939653412
19650517	0	11.65	2.743676517
19650518	0	12.75	2.586895002
19650519	26.7	10	3.3316072
19650520	5.1	10.55	3.958733261
19650521	0.3	10.55	3.135630306
19650522	1.5	9.2	2.743676517
19650523	4.8	8.1	2.547699623
19650524	0.5	9.15	2.547699623
19650525	0	13.9	2.547699623
19650526	0	16.4	2.351722729
19650527	0	18.05	2.351722729
19650528	0	19.15	2.351722729
19650529	0	15.25	2.351722729
19650530	0	13.6	2.155745835
19650531	0	11.65	2.155745835
19650601	0	15	1.959768941
19650602	0	18.35	1.881378183
19650603	0	18.6	1.802987426
19650604	0	18.85	1.802987426
19650605	0	19.45	1.724596668
19650606	0	19.4	1.64620591
19650607	0	19.15	1.64620591
19650608	0	14.4	1.567815153
19650609	0	18.35	1.489424395
19650610	0	20.25	1.411033638
19650611	0.3	15	1.411033638
19650612	0	14.45	1.33264288
19650613	3.3	12.25	1.33264288
19650614	10.7	11.1	1.411033638
19650615	0.3	11.95	1.33264288
19650616	0	13.65	1.254252122
19650617	1	12.75	1.254252122
19650618	0.5	13.05	1.254252122
19650619	0	16.4	1.175861365
19650620	0	19.75	1.175861365
19650621	0	18.6	1.097470607
19650622	0	18.35	1.097470607
19650623	0	17.5	1.019079849
19650624	0	17.2	1.019079849
19650625	0	10.55	0.979884471
19650626	0	10.3	0.940689092
19650627	0	13.85	0.940689092
19650628	0	17.25	0.940689092
19650629	0	21.65	0.940689092
19650630	32.3	23.6	0.940689092
19650701	0	21.1	0.862298334
19650702	0	22.5	0.862298334
19650703	0	21.4	0.862298334
19650704	0	21.1	0.862298334
19650705	0	23.35	0.862298334
19650706	0	23.35	0.783907576
19650707	0	21.4	0.783907576
19650708	0	16.1	0.783907576
19650709	0	16.1	0.744712198
19650710	0	14.45	0.744712198
19650711	0	14.75	0.744712198
19650712	0	17.5	0.744712198
19650713	0	21.65	0.744712198
19650714	0	22.5	0.705516819
19650715	0	22.5	0.705516819
19650716	0	23.6	0.705516819
19650717	0	21.95	0.705516819
19650718	0	19.45	0.66632144
19650719	0	15	0.66632144
19650720	2.5	12.5	0.66632144
19650721	6.1	11.95	0.705516819
19650722	0	16.7	0.66632144
19650723	0	22.25	0.627126061
19650724	0	25	0.627126061
19650725	0	22.2	0.627126061
19650726	0	20	0.627126061
19650727	0	20.55	0.587930682
19650728	0	23.9	0.587930682
19650729	0	23.85	0.548735303
19650730	0	26.65	0.548735303
19650731	0	26.95	0.548735303
19650801	0	21.65	0.548735303
19650802	0	21.1	0.548735303
19650803	0	19.45	0.548735303
19650804	0	19.7	0.548735303
19650805	0	21.65	0.548735303
19650806	0	22.75	0.509539925
19650807	0	22.5	0.509539925
19650808	0	21.7	0.509539925
19650809	5.6	21.4	0.509539925
19650810	0	21.1	0.548735303
19650811	4.6	17.75	0.509539925
19650812	7.6	14.45	0.627126061
19650813	0.5	16.65	0.587930682
19650814	0	19.45	0.509539925
19650815	0	20.85	0.509539925
19650816	0	21.65	0.470344546
19650817	0	20.85	0.470344546
19650818	9.4	20.8	0.470344546
19650819	6.4	16.95	0.627126061
19650820	0	18.3	0.548735303
19650821	10.4	18.9	0.548735303
19650822	0.3	18.05	0.587930682
19650823	0	19.45	0.548735303
19650824	6.9	18.6	0.509539925
19650825	6.1	15.8	0.627126061
19650826	0	19.15	0.587930682
19650827	0	15	0.548735303
19650828	0	13.35	0.509539925
19650829	0	13.05	0.470344546
19650830	0	15.85	0.470344546
19650831	0	17.2	0.431149167
19650901	0	17.75	0.431149167
19650902	0	14.45	0.431149167
19650903	0	15.25	0.431149167
19650904	0	14.2	0.431149167
19650905	0	15.55	0.431149167
19650906	0	15.25	0.431149167
19650907	0	14.7	0.431149167
19650908	0	13.9	0.431149167
19650909	0	13.05	0.431149167
19650910	0	13.35	0.431149167
19650911	0	14.45	0.431149167
19650912	0	14.15	0.431149167
19650913	0	15.45	0.391953788
19650914	0.5	13.4	0.391953788
19650915	2.5	15.65	0.431149167
19650916	0	10.5	0.431149167
19650917	0	7.8	0.391953788
19650918	0	9.7	0.391953788
19650919	0	9.75	0.391953788
19650920	0	13.05	0.391953788
19650921	0	13.9	0.391953788
19650922	0	15.8	0.391953788
19650923	0	19.15	0.391953788
19650924	0	17.2	0.352758409
19650925	0	14.45	0.352758409
19650926	0	8.6	0.352758409
19650927	1	10.25	0.391953788
19650928	0	10	0.391953788
19650929	0	9.75	0.391953788
19650930	0	11.35	0.352758409
19651001	0	12.75	0.352758409
19651002	0	13.35	0.352758409
19651003	0	11.9	0.352758409
19651004	19.6	13.05	0.431149167
19651005	4.3	11.95	0.66632144
19651006	0	11.15	0.431149167
19651007	0	13.35	0.391953788
19651008	0	12.5	0.391953788
19651009	0	12.75	0.352758409
19651010	0	11.4	0.352758409
19651011	0	11.65	0.352758409
19651012	0	10	0.352758409
19651013	0.5	12.5	0.352758409
19651014	34.5	8.9	0.587930682
19651015	10.7	6.4	1.019079849
19651016	0	7.2	0.587930682
19651017	6.4	9.45	0.509539925
19651018	2.5	7.9	0.509539925
19651019	0	11	0.470344546
19651020	0	10.4	0.431149167
19651021	0	11.45	0.391953788
19651022	0	10.35	0.391953788
19651023	0	12.25	0.391953788
19651024	0	11.95	0.352758409
19651025	0	13.05	0.352758409
19651026	0	11.95	0.352758409
19651027	12.4	9.45	0.391953788
19651028	0	11.95	0.470344546
19651029	0	10	0.391953788
19651030	0	10	0.391953788
19651031	0	9.15	0.352758409
19651101	0	8.85	0.352758409
19651102	1.3	9.15	0.352758409
19651103	38.6	11.1	0.548735303
19651104	11.9	9.2	1.959768941
19651105	0.5	8.65	1.136665986
19651106	0	7.75	0.823102955
19651107	1.8	8.35	0.705516819
19651108	8.4	9.2	0.705516819
19651109	3.8	6.65	0.783907576
19651110	32.8	5	1.019079849
19651111	37.8	5.8	3.684365609
19651112	50.8	8.05	7.839075764
19651113	19.6	9.75	5.134594626
19651114	0	8.35	3.99792864
19651115	0	7.5	2.586895002
19651116	0	7.2	1.959768941
19651117	0	9.2	1.64620591
19651118	12.2	7.2	1.607010532
19651119	2.3	6.65	1.371838259
19651120	27.7	6.4	2.194941214
19651121	4.6	6.7	3.370802579
19651122	19.8	4.15	3.449193336
19651123	2.5	3.9	3.527584094
19651124	2.3	2.2	2.97884879
19651125	0	1.1	2.390918108
19651126	39.1	0.85	2.31252735
